"T","mu_theta1","mu_theta_1,if","theta_2,if","theta_2,slab","theta_3","theta_4,if","theta_4,slab","theta_5","mu_theta_6","mu_theta_6b","mu_theta_7","theta_9,if","theta_9,slab","theta_6xc","theta_1,slab_Ca_smallM","theta_1,if_reg_Al","theta_1,if_reg_Ca","theta_1,if_reg_CAM","theta_1,if_reg_Ja","theta_1,if_reg_NZ","theta_1,if_reg_SA","theta_1,if_reg_Tw","theta_1,slab_reg_Al","theta_1,slab_reg_Ca","theta_1,slab_reg_CAM","theta_1,slab_reg_Ja","theta_1,slab_reg_NZ","theta_1,slab_reg_SA","theta_1,slab_reg_Tw","theta7_reg_Al","theta7_reg_Ca","theta7_reg_CAM","theta7_reg_Ja","theta7_reg_NZ","theta7_reg_SA","theta7_reg_Tw","theta_6,x1_reg_Al","theta_6,x1_reg_Ca","theta_6,x1_reg_CAM","theta_6,x1_reg_Ja","theta_6,x1_reg_NZ","theta_6,x1_reg_SA","theta_6,x1_reg_Tw","theta_6,x2_reg_Al","theta_6,x2_reg_Ca","theta_6,x2_reg_CAM","theta_6,x2_reg_Ja","theta_6,x2_reg_NZ","theta_6,x2_reg_SA","theta_6,x2_reg_Tw","theta_6,x3_reg_Al","theta_6,x3_reg_Ca","theta_6,x3_reg_CAM","theta_6,x3_reg_Ja","theta_6,x3_reg_NZ","theta_6,x3_reg_SA","theta_6,x3_reg_Tw","theta_6,1_reg_Al","theta_6,1_reg_Ca","theta_6,1_reg_CAM","theta_6,1_reg_Ja","theta_6,1_reg_NZ","theta_6,1_reg_SA","theta_6,1_reg_Tw","theta_6,2_reg_Al","theta_6,2_reg_Ca","theta_6,2_reg_CAM","theta_6,2_reg_Ja","theta_6,2_reg_NZ","theta_6,2_reg_SA","theta_6,2_reg_Tw","theta_6,3_reg_Al","theta_6,3_reg_Ca","theta_6,3_reg_CAM","theta_6,3_reg_Ja","theta_6,3_reg_NZ","theta_6,3_reg_SA","theta_6,3_reg_Tw","dzb_if","dzb_slab","nft_1","nft_2","phi","tau"
0.,3.7153066515060793,4.7890803589414785,-2.460896365568182,-2.4380993832954547,0.10393058013863637,0.9521874005681819,1.1050115503977271,0.12815098434904088,-0.002634759030578068,-0.005253883441193182,0.8876787495561363,0.0254806551404375,0.022385168500998857,-0.6041659755402045,3.5782434908173295,3.356030291794318,3.6003048742965915,3.6964209737486247,4.008987257470569,3.9433378875758693,4.051210372388011,3.4468710547982946,4.54871542212858,4.486160214133068,5.041801410631818,5.360940740375,4.822427116311795,5.079648822115284,4.391529843928239,0.5601354058715908,0.6625270686534093,1.1474467335396479,0.8697257402695908,1.005782505686477,1.1313044744119887,0.9336880390744319,-0.005573952289791477,-0.005540690212645398,-0.006286379536829545,-0.008737000362045454,-0.0050122032200130675,-0.003629292162204375,-0.004813493488539206,-0.006504695142100567,-0.006748306175604601,-0.0005429720152486932,-0.0020419245794772727,-0.004533563519359213,-0.002734494377961818,-0.005830319913371079,-0.005413336071462501,-0.005270162012439773,-0.005316293881648125,-0.005587185338775,-0.005359348069487046,-0.005335343005188126,-0.005177102161766477,-0.004744988288435851,-0.004892125592290472,-0.005721447255331251,-0.0055435645145295465,-0.005701998190761932,-0.007037723685671819,-0.005130715768072729,-0.002899566613829545,-0.0037887197641959087,-0.001378837982273352,-0.002811630352631477,-0.0019843515947511364,-0.002095369607352841,-0.0030467170332933004,-0.00517814048075284,-0.004983299338452842,-0.005920355254369659,-0.008306568702175002,-0.005360944683122102,-0.005847905072314375,-0.0047099377017215905,16.816057562551343,-15.841253445180625,0.8945888824647727,0.1988513046256364,0.5957552781542046,0.4887447436408862
0.01,3.5756533640060795,4.559571983941478,-2.428916739318182,-2.3950280545454548,0.10431805850113637,0.945373983068182,1.108606759147727,0.12914600933054213,-0.002699423958430568,-0.005283727433693182,0.8924379821261363,0.0250581984443125,0.02196359730099886,-0.5919981367902045,3.3940715908173296,3.1950176042943186,3.4803349242965917,3.5216640987486247,3.7863277824705683,3.8103254375758695,3.935535147388012,3.311994279798295,4.30777193462858,4.309173564133068,4.809797423131818,5.048204202875,4.653637453811796,4.840730747115284,4.203531293928239,0.5710206767840909,0.6670828315284093,1.109680890639148,0.8709234834440909,1.012431679203977,1.1470773215494887,0.9108595212531819,-0.005972885659666478,-0.005746107531395398,-0.006377485853079545,-0.008752212562045454,-0.005024678442638068,-0.0035965786943293753,-0.0049649770099142055,-0.006405164573350566,-0.006703279894354601,-0.0004299139271611932,-0.0020495563239772726,-0.004560259924859212,-0.002728715648110818,-0.005885199453371078,-0.005305646718962501,-0.005312351493189774,-0.005427250019148126,-0.005492010249625,-0.005333401111987046,-0.0052960376614381265,-0.005372186825516477,-0.004753694657005851,-0.005063236336290472,-0.0057682411415812505,-0.005460461794654546,-0.005705623492011932,-0.006883925930671818,-0.005364683166822729,-0.002918168377204545,-0.003919402661490909,-0.0013252900125171022,-0.002915695695535227,-0.0019390502629173865,-0.002071797568451591,-0.0031281059203674753,-0.00521725426625284,-0.005212202802202842,-0.005897477383119659,-0.008357835139675002,-0.005519879063122101,-0.0057705299385643755,-0.004758048025096591,16.823813100051343,-16.125060732680623,0.8964235208522728,0.1990918023161364,0.5995956091828171,0.4942297306981362
0.02,3.7164886140060793,4.808206646441478,-2.459748358068182,-2.4432242045454546,0.10471132908863637,0.9588235868181819,1.1162359578977272,0.13240695270902839,-0.002614211243565568,-0.005323801958693182,0.9302614690286364,0.027178223284312502,0.02327710565099886,-0.6197721430402046,3.5848319908173294,3.381819066794318,3.6015018617965913,3.6840868112486245,3.9664154324705683,3.9126584375758693,4.057270272388012,3.436770629798295,4.58599093462858,4.492272226633068,5.138580210631818,5.356057890375,4.860414466311795,5.154175934615283,4.388374743928239,0.6071540491215909,0.7072180242784093,1.161897312272898,0.9129438119149659,1.056041081096102,1.2082086235494887,0.953422087000307,-0.005948932490916478,-0.005742527571395398,-0.006272635830579545,-0.008641131549545454,-0.005120753008388068,-0.0036115836180793752,-0.0049362181324142055,-0.006442565934600567,-0.006943528199354601,-0.00043915439591119313,-0.0019843950052272725,-0.004701539123109212,-0.002810551503286818,-0.006107624837121078,-0.005315728678962501,-0.0053770358194397735,-0.005471303204148125,-0.0054346047416375,-0.005327744360737046,-0.0053940413301881256,-0.005463416420516478,-0.004839254658080851,-0.005006601590040472,-0.005957850005331251,-0.005697934420904546,-0.005745986967011931,-0.0071506755306718186,-0.005306207784322729,-0.002924819228579545,-0.0037875750115021587,-0.0013291805911983521,-0.0028889186170852265,-0.0018953213214636365,-0.002033545176031591,-0.0029163517634920506,-0.00523829532500284,-0.005291150599702842,-0.00595529475686966,-0.008231301239675002,-0.005456831023122101,-0.005809742203564375,-0.004864514128846591,16.662189075051344,-16.284032145180625,0.8971684072272728,0.1991506307186364,0.5924150602567047,0.5054583984445112
0.03,4.019203939006079,5.167197596441477,-2.513834311818182,-2.496444857045455,0.10453127425113637,0.9730964743181819,1.1092684541477271,0.13484283459690338,-0.002548148750198318,-0.005441872468693182,1.0127528904973864,0.029343849204312503,0.024539430425998862,-0.6549934405402045,3.878638865817329,3.7004381167943183,3.881527524296591,4.0096467112486245,4.3462560074705685,4.214684000075869,4.35431213488801,3.6982306047982947,4.94799602212858,4.780066176633067,5.547287960631818,5.823778527875,5.176631041311795,5.577609309615284,4.666983818928239,0.7074229267740908,0.7827662957284093,1.247418989819148,1.0115073455715908,1.141592745807277,1.2764732809548636,1.033921126090307,-0.005875063843416478,-0.005766063665145397,-0.006266255210579545,-0.008824994762045455,-0.005277072128388068,-0.0037260432243293755,-0.004931584122414206,-0.006591157208350566,-0.0072107644243546015,-0.0005150562471611932,-0.0019518831214772729,-0.004850618323109212,-0.002908857003314318,-0.006339612400871078,-0.005432824293962501,-0.005498267591939773,-0.005576675862898125,-0.005581771886875,-0.0054490725207370465,-0.005569964316438126,-0.005546311471766477,-0.004966598577455851,-0.005036433253790472,-0.00616354003158125,-0.0060020885459045464,-0.005866721132011932,-0.007533127705671818,-0.0052977708255727285,-0.0029366930073295447,-0.003683176622034659,-0.0013757703527046022,-0.0028374615491602267,-0.0019107741843911365,-0.002045657120279091,-0.0026875563294695504,-0.0052997092750028405,-0.005346174378452842,-0.00609075629186966,-0.008231568264675002,-0.005537020384372101,-0.005971231664814375,-0.0049673958900965905,17.181660975051344,-16.314490007680625,0.8964051709772728,0.1989097350998864,0.6044302265497546,0.5116676788877612
0.05,4.544768776506079,5.640302621441478,-2.589450354318182,-2.5410666332954546,0.10337604955113637,0.991235338068182,1.0905133078977272,0.13730139025940338,-0.002550058892736818,-0.005676356537443182,1.1880131000261365,0.0319114324418125,0.025759949575998857,-0.6925659555402046,4.288455978317329,4.217633179294318,4.387812561796592,4.549220573748625,4.964188257470568,4.77202663757587,4.888842359888011,4.161201529798294,5.40489633462858,5.191630101633067,6.041135235631818,6.424629515375001,5.6189990538117955,6.114167272115283,5.054938068928239,0.9699221956590909,0.9593535129171593,1.3683675912478979,1.2576638109090907,1.2967239543352271,1.3670204966082387,1.187023224318182,-0.005885017747166477,-0.005847701941395398,-0.006436015604329545,-0.009374769212045456,-0.005583775109638068,-0.003981447659329375,-0.005016215493664206,-0.006858253845850567,-0.007564484774354601,-0.0006876310759111932,-0.001972598858977273,-0.005074974971859212,-0.003080665844894318,-0.006675755259621078,-0.005677563742712501,-0.005732610501939773,-0.005815338265398125,-0.006002480794375,-0.005711518749487046,-0.005880044328938126,-0.005673896145516478,-0.005218316949955851,-0.005195539840040472,-0.006475766094081251,-0.006429077592154546,-0.0061194442445119315,-0.008092701068171818,-0.005395673928072728,-0.0030058567348295448,-0.003680303415462159,-0.001486615457029602,-0.002794009298597727,-0.0020213418538473863,-0.002130903676970341,-0.0024537762890570504,-0.00549839798375284,-0.005495659275952842,-0.00632011468186966,-0.008430237014675001,-0.005797248836872101,-0.006278170084814375,-0.005124679382596591,18.320744937551346,-16.300176307680623,0.8934801713522728,0.1982098773016864,0.6380188910454546,0.5157928553473862
0.075,4.9209431890060795,5.8482378964414785,-2.619896356818182,-2.5255555182954548,0.10154598815113637,1.000331099318182,1.0785323941477272,0.13791527682190338,-0.002672773000583068,-0.005933342239943183,1.3722738960261363,0.0328225749293125,0.025791579950998858,-0.6954633917902046,4.49733641581733,4.577887504294318,4.768796999296592,4.916524961248625,5.361936169970568,5.180892762575869,5.274643422388011,4.512719929798295,5.59934680962858,5.409688439133068,6.2148686481318185,6.654075590374999,5.8355897288117955,6.322656259615284,5.2549627939282395,1.2283096012840908,1.1833666992784093,1.4940592194853979,1.490282659659091,1.462358148460227,1.4692490311244886,1.357870349943182,-0.006040430449666478,-0.005970889925145398,-0.006747231083079545,-0.009925684249545454,-0.005871304908388068,-0.004229327971829375,-0.005202136664914206,-0.007083734695850566,-0.007761530124354602,-0.0008740174773486933,-0.002086358108352273,-0.005267497730609213,-0.003241214227969318,-0.006914640097121078,-0.005931879711462501,-0.005995068601939773,-0.006062209165398125,-0.006451701453125,-0.0060060135407370464,-0.0061494725414381265,-0.0058502985417664775,-0.005462721153705851,-0.0054487916587904715,-0.006706598144081251,-0.006711553992154546,-0.006362475782011932,-0.008416107493171818,-0.005619506961822729,-0.003104868114829545,-0.0038837771218659086,-0.0016089641430141021,-0.002831023316368977,-0.0021935215658023116,-0.002262678932034091,-0.0024695065056820507,-0.00573893646375284,-0.005721124324702842,-0.006546510000619659,-0.008744428602175003,-0.006113537915622101,-0.006531253259814376,-0.00530959485884659,18.923698762551346,-16.240071107680624,0.8894339151772728,0.19737532504321015,0.6661195944204545,0.5148726858696362
0.1,5.073489776506079,5.8308542589414785,-2.608322790568182,-2.4778788632954547,0.09978816871951136,1.001912666818182,1.0787293591477272,0.13733085404690337,-0.002820768455431818,-0.006073458102443182,1.5314235272761363,0.0324478976668125,0.02508070895099886,-0.6764828755402046,4.519119653317329,4.726850416794317,4.937742036796592,5.053960298748625,5.488463607470569,5.346631512575869,5.42539294738801,4.676007204798295,5.582708634628579,5.437210651633068,6.146773935631818,6.587999377875001,5.839812216311795,6.2682436096152845,5.277204731428239,1.3871163325340907,1.3821176505284092,1.643536027610398,1.630928724659091,1.625128474710227,1.6069358224119887,1.520788001193182,-0.006226574220916477,-0.0060750321751453975,-0.007025260158079545,-0.010221157562045455,-0.006029470745888068,-0.004378894183079376,-0.005355143442414206,-0.007160772920850567,-0.007793964686854601,-0.0010243981154286932,-0.002205582495389773,-0.005363147835609212,-0.003348435685469318,-0.0070033079846210785,-0.006107633561462501,-0.006154046426939773,-0.006217909827898126,-0.006750695028125,-0.006175571340737046,-0.006294983666438126,-0.005944075391766477,-0.005625426238705851,-0.005646796952540472,-0.006780335019081251,-0.0067984691421545465,-0.006486098494511932,-0.008487617680671817,-0.005783700285572728,-0.003185671628579545,-0.0041389132544909085,-0.0017033301927338396,-0.0028863604906477266,-0.0023473365723548864,-0.002366816435784091,-0.0026418256945408007,-0.00591743018250284,-0.005858627464702842,-0.006677180250619659,-0.009000679877175002,-0.006305699515622101,-0.006642785809814375,-0.0054249585825965905,18.758649337551343,-16.147276607680624,0.8857566383272728,0.1966979701786364,0.6783689035454545,0.5119746911504237
0.15,5.02599052650608,5.531066721441478,-2.531737908068182,-2.3612831582954548,0.09688566471217387,0.9971735155681819,1.0994275541477272,0.13497344205940337,-0.003084744403181818,-0.006177342214943182,1.8009406110261366,0.0302257141293125,0.02299559832599886,-0.6202663830402045,4.32885655331733,4.700169179294319,4.927519436796591,4.981228686248625,5.350477144970569,5.289008400075868,5.350816772388011,4.689841929798295,5.30880445962858,5.242301201633067,5.751216648131818,6.135932665375,5.579030903811795,5.866441859615284,5.092471831428239,1.5505748825340908,1.6824510367784093,1.9732408938603978,1.7869761984090908,1.9243118109602269,1.9454851174119887,1.816593858693182,-0.006507891754666478,-0.006199796500145398,-0.007406117345579545,-0.010370960587045454,-0.006160168158388068,-0.004489188170579375,-0.0055409044036642055,-0.007130833058350567,-0.007654980061854602,-0.0012367280351618182,-0.002384389875945523,-0.005422103739359213,-0.003464948180469318,-0.007001044884621078,-0.006223021748962501,-0.006282821089439773,-0.006334696440398125,-0.007033779290625,-0.006317054203237046,-0.006364533541438126,-0.006022205929266477,-0.005772765048705851,-0.005871582576290472,-0.006752476031581251,-0.006729394767154546,-0.006540885082011932,-0.008282951430671818,-0.005971231621822728,-0.003281170579829545,-0.004589887180740909,-0.0018258006953433522,-0.0030447501947727267,-0.0025751180896386363,-0.0025069825095340907,-0.0031118053979570506,-0.00615060908250284,-0.006030878389702842,-0.006785844025619659,-0.009307764052175002,-0.006455377415622101,-0.006639914934814375,-0.0055571262563465906,17.286575000051343,-15.877666082680623,0.8799033715077615,0.1957654464761364,0.6777399611704547,0.5055153710315112
0.2,4.76966060150608,5.132677533941478,-2.434298891818182,-2.2529630907954545,0.09474540373863637,0.9909418718181819,1.1315467403977273,0.13235534276090338,-0.003273107961931818,-0.006152490527443182,2.0154821110261363,0.027520137054312502,0.02084771957599886,-0.5637937667902045,4.0388198283173296,4.481014879294317,4.702098799296592,4.710481311248625,5.005995044970568,5.00210692507587,5.05429395988801,4.504351367298295,4.94776815962858,4.932354901633067,5.279849460631818,5.591939102875,5.203979691311796,5.371816747115284,4.803260306428239,1.6510865425340908,1.8895907430284091,2.261112937610398,1.8967494471590909,2.157452819710227,2.2740559386619887,2.057558467443182,-0.006651193729666478,-0.006195822150145398,-0.007598445158079545,-0.010205121899545457,-0.0061596313833880674,-0.004465433295579375,-0.005624785978664205,-0.006968831233350567,-0.007424345661854601,-0.0013756259560086931,-0.0025046190642772728,-0.005392305686859213,-0.0035025720379693176,-0.006876002172121079,-0.006216435686462501,-0.006275947614439773,-0.006318829965398125,-0.007088951678125,-0.006304283790737046,-0.006297929553938125,-0.006017321254266478,-0.00581479193620585,-0.005951363488790472,-0.0065974353815812506,-0.006539955179654546,-0.006456156107011932,-0.007916091130671817,-0.0060388045968227284,-0.003330196743579545,-0.004916117980740909,-0.0018918137350358523,-0.0031730641210227267,-0.0027222287671386366,-0.0025647278382840907,-0.0035632240703070504,-0.006263816532502841,-0.006080594264702842,-0.00677273263811966,-0.009406313377175003,-0.006446867490622101,-0.006483661734814374,-0.0055933638350965905,15.321677412551344,-15.526637782680623,0.8756910262147728,0.1952202792761364,0.6646542176704546,0.5000763452497612
0.25,4.4413475640060796,4.737976746441478,-2.338216333068182,-2.162150320182955,0.09317722411363637,0.986668855568182,1.166600357897727,0.1299453097422434,-0.003413419215681818,-0.006065152339943182,2.1825276085261365,0.024917220636812502,0.01890656771349886,-0.5137662805402046,3.73869885331733,4.192964429294318,4.396801049296592,4.375634036248625,4.606384294970569,4.63871950007587,4.6839241598880115,4.239805029798295,4.59072147212858,4.604524401633068,4.832425535631818,5.079309140375001,4.820203141311795,4.898129984615284,4.497810356428238,1.7421631962840909,2.0419450917784094,2.4761158988603977,1.9956131209090908,2.324779489710227,2.542924493661989,2.2425672961931817,-0.0066876167671664774,-0.006125931925145397,-0.007674482508079545,-0.009922768262045455,-0.006086443608388068,-0.004392417470579375,-0.005640521316164206,-0.006759609808350567,-0.007177766711854602,-0.0014773796451111932,-0.0026169578784772727,-0.005338374764359213,-0.0035122039992193177,-0.006707498484621079,-0.006158247311462501,-0.006199441339439773,-0.006239514327898125,-0.007029024328124999,-0.006215553640737045,-0.006171729091438125,-0.005958427816766478,-0.005803782811205851,-0.005941564151290471,-0.006413386469081251,-0.006337372517154546,-0.006327194557011931,-0.007513806293171818,-0.006006028559322728,-0.003360033049829545,-0.005140046943240909,-0.0019373431119108521,-0.0032883825472727266,-0.0028184114858886365,-0.002590677103284091,-0.003945292724057051,-0.00627250990750284,-0.006060393777202842,-0.006692531550619659,-0.009367790627175,-0.006349487803122101,-0.006278744472314374,-0.005596769272596591,13.374937162551344,-15.126412857680624,0.8726358149272728,0.1949164952136364,0.6495278240454546,0.49584638383943624
