"T","mu_theta1","mu_theta1a","theta2","theta2a","theta3","theta4","theta4a","theta5","mu_theta6","mu_theta6b","mu_theta7","theta9","theta9a","theta6xc","theta1a_Ca_smallM","theta1_reg_Al","theta1_reg_Ca","theta1_reg_CAM","theta1_reg_Ja","theta1_reg_NZ","theta1_reg_SA","theta1_reg_Tw","theta1a_reg_Al","theta1a_reg_Ca","theta1a_reg_CAM","theta1a_reg_Ja","theta1a_reg_NZ","theta1a_reg_SA","theta1a_reg_Tw","theta7_reg_Al","theta7_reg_Ca","theta7_reg_CAM","theta7_reg_Ja","theta7_reg_NZ","theta7_reg_SA","theta7_reg_Tw","theta6x1_reg_Al","theta6x1_reg_Ca","theta6x1_reg_CAM","theta6x1_reg_Ja","theta6x1_reg_NZ","theta6x1_reg_SA","theta6x1_reg_Tw","theta6x2_reg_Al","theta6x2_reg_Ca","theta6x2_reg_CAM","theta6x2_reg_Ja","theta6x2_reg_NZ","theta6x2_reg_SA","theta6x2_reg_Tw","theta6x3_reg_Al","theta6x3_reg_Ca","theta6x3_reg_CAM","theta6x3_reg_Ja","theta6x3_reg_NZ","theta6x3_reg_SA","theta6x3_reg_Tw","theta61_reg_Al","theta61_reg_Ca","theta61_reg_CAM","theta61_reg_Ja","theta61_reg_NZ","theta61_reg_SA","theta61_reg_Tw","theta62_reg_Al","theta62_reg_Ca","theta62_reg_CAM","theta62_reg_Ja","theta62_reg_NZ","theta62_reg_SA","theta62_reg_Tw","theta63_reg_Al","theta63_reg_Ca","theta63_reg_CAM","theta63_reg_Ja","theta63_reg_NZ","theta63_reg_SA","theta63_reg_Tw","dzb_if","dzb_slab","nft_1","nft_2","phi","tau","psi_theta1","psi_theta1a","psi_theta6","psi_theta6b","psi_theta7","L_reg.1.1","L_reg.2.1","L_reg.3.1","L_reg.4.1","L_reg.5.1","L_reg.6.1","L_reg.7.1","L_reg.8.1","L_reg.9.1","L_reg.1.2","L_reg.2.2","L_reg.3.2","L_reg.4.2","L_reg.5.2","L_reg.6.2","L_reg.7.2","L_reg.8.2","L_reg.9.2","L_reg.1.3","L_reg.2.3","L_reg.3.3","L_reg.4.3","L_reg.5.3","L_reg.6.3","L_reg.7.3","L_reg.8.3","L_reg.9.3","L_reg.1.4","L_reg.2.4","L_reg.3.4","L_reg.4.4","L_reg.5.4","L_reg.6.4","L_reg.7.4","L_reg.8.4","L_reg.9.4","L_reg.1.5","L_reg.2.5","L_reg.3.5","L_reg.4.5","L_reg.5.5","L_reg.6.5","L_reg.7.5","L_reg.8.5","L_reg.9.5","L_reg.1.6","L_reg.2.6","L_reg.3.6","L_reg.4.6","L_reg.5.6","L_reg.6.6","L_reg.7.6","L_reg.8.6","L_reg.9.6","L_reg.1.7","L_reg.2.7","L_reg.3.7","L_reg.4.7","L_reg.5.7","L_reg.6.7","L_reg.7.7","L_reg.8.7","L_reg.9.7","L_reg.1.8","L_reg.2.8","L_reg.3.8","L_reg.4.8","L_reg.5.8","L_reg.6.8","L_reg.7.8","L_reg.8.8","L_reg.9.8","L_reg.1.9","L_reg.2.9","L_reg.3.9","L_reg.4.9","L_reg.5.9","L_reg.6.9","L_reg.7.9","L_reg.8.9","L_reg.9.9","theta1_reg_global","theta1a_reg_global","theta7_reg_global","theta6x1_reg_global","theta6x2_reg_global","theta6x3_reg_global","theta61_reg_global","theta62_reg_global","theta63_reg_global"
0.05,4.407799951506079,5.560377921441478,-2.597408979318182,-2.5158312582954547,0.10261466792613638,1.075190344318182,1.138391724147727,0.10892594276202835,-0.0032124156052368183,-0.005567073487443183,1.2209989037761364,0.043301125691812506,0.021418908700998857,-0.6985161205402044,3.78546174081733,4.422258779294319,4.003400774296591,4.3897530612486255,4.744357782470568,4.56517898757587,4.69619740988801,4.330489304798295,5.58733533462858,5.0346667641330685,5.808490848131817,6.111674140375,5.503978353811797,5.922583872115283,5.132196856428238,1.0930096256590909,0.8386491341671592,1.399461066247898,1.2559250984090908,1.2798271793352272,1.424639796608239,1.178302599318182,-0.007823333760541479,-0.010163989185895398,-0.005413120366829545,-0.009446385412045457,-0.003941601190888067,-0.0036105561468293746,-0.0021726904482892054,-0.005762411057888067,-0.004482996352229601,-0.0005404811049111932,-0.0019986468464772726,-0.005627006377109212,-0.0030242828073943177,-0.007196867865121077,-0.0016269293992125012,-0.006600427517189773,-0.012439713893423125,-0.006355068931875,-0.003240393690737045,-0.008529854137263124,-0.010265852310516478,-0.0020856638906308505,-0.005509237846477972,-0.00169269170283125,-0.008060591914029545,-0.002578482897999432,-0.007578620343171817,-0.007117570726072728,-0.003136226584829545,-0.003701628902962159,-0.001045770962954602,-0.0029064761610977275,-0.0025203834765098864,-0.0020436177144703407,-0.00250660840155705,-0.0038509615516778397,-0.009635211827040344,-0.006613616313994659,-0.008718045527175,-0.00697735674748585,-0.004023025381439374,-0.0041504024738465905,17.355149362551348,-12.429943471430622,0.9217559076022728,0.20115008980168642,0.6373324147954545,0.4970161528473862,0.15769,0.343814,0.000549463,0.0024201,0.127475,1,0.398745,0.638107,0.205357,-0.252143,0.28458,-0.184135,0.265498,0.0976764,0,0.917062,-0.193238,0.187222,0.235904,-0.201895,0.204644,-0.0903972,0.103885,0,0,0.745305,0.194905,0.120299,-0.195658,-0.0987749,0.281124,0.0649165,0,0,0,0.940632,-0.292993,0.13448,0.00686829,0.10352,0.318964,0,0,0,0,0.883435,-0.0632216,0.234243,0.400155,0.0890689,0,0,0,0,0,0.904372,0.177159,-0.306546,0.115405,0,0,0,0,0,0,0.910031,0.3162,-0.19098,0,0,0,0,0,0,0,0.691025,0.078587,0,0,0,0,0,0,0,0,0.899897,4.507592589039193,6.210795788541617,1.228614226361818,-0.007189034998424533,-0.0008383270030582028,-0.007297091052414005,-0.004820969108591757,-0.0028826870223036,-0.008831212973385058
0.05,4.116439951506079,5.479167921441478,-2.487798979318182,-2.478331258295455,0.10090266792613639,0.9550653443181821,1.1753317241477272,0.11685494276202835,-0.0028058756052368183,-0.004017623487443183,1.2027089037761365,0.03538302569181251,0.023977108700998857,-0.7264471205402044,4.08557174081733,3.6562087792943188,3.7575007742965916,4.153403061248626,4.502067782470569,4.74410898757587,4.481687409888011,3.8757693047982955,5.22315533462858,4.748416764133068,5.8094908481318175,5.850544140375,5.618768353811796,5.685433872115283,5.010906856428238,0.9962396256590909,1.0623961341671593,1.245451066247898,1.2387950984090907,1.3030871793352272,1.277869796608239,1.228232599318182,-0.0017373137605414782,-0.0010902791858953982,-0.0060497703668295445,-0.009719605412045458,-0.003733151190888067,-0.004136686146829375,0.000012299551710794629,-0.004422071057888067,-0.006302246352229601,-0.002200749104911193,-0.002098166846477273,-0.0074435463771092125,-0.0033380228073943176,-0.005741537865121078,-0.004306409399212501,-0.005964497517189773,-0.0011428168934231248,-0.006406238931875,-0.006237973690737046,-0.0020735541372631254,-0.004175812310516478,-0.0037852138906308503,-0.000515187846477972,-0.00719802170283125,-0.006579971914029545,-0.004289492897999432,-0.008552980343171816,0.00024708827392727194,-0.003051486584829545,-0.0036449889029621587,-0.002811575962954602,-0.0030896261610977274,-0.0027357534765098867,-0.002588757714470341,-0.00284256840155705,-0.0015098015516778395,-0.0010524288270403431,-0.007762146313994659,-0.008795455527175,-0.004135156747485849,-0.0062970053814393745,0.00030885352615340946,18.426849362551348,-14.087443471430623,0.8531609076022728,0.20176608980168642,0.6373134147954546,0.5161941528473862,0.200791,0.209359,0.000429864,0.00194377,0.0776059,1,0.233153,0.530102,-0.255137,-0.151117,-0.147899,-0.621904,0.198138,-0.365073,0,0.97244,0.0375051,-0.187562,0.122508,0.167927,-0.168997,0.471824,-0.26308,0,0,0.847104,-0.188552,0.21316,0.0777973,-0.117322,0.440922,0.125678,0,0,0,0.929609,-0.496938,0.272793,0.196875,0.31039,0.361185,0,0,0,0,0.818395,0.218099,-0.30708,-0.196859,-0.244114,0,0,0,0,0,0.906582,-0.190381,-0.0243665,0.00403628,0,0,0,0,0,0,0.633725,-0.211811,0.19434,0,0,0,0,0,0,0,0.602626,0.579197,0,0,0,0,0,0,0,0,0.467349,3.9422828469373914,5.613817999943539,1.1280567394606835,-0.0022235744746054793,-0.005125525696488288,-0.002084931182115054,-0.0028063853902808014,-0.002490265468517036,-0.00325572229236022
0.05,4.199939951506079,5.576657921441478,-2.491508979318182,-2.457911258295455,0.09893596792613639,0.9948603443181823,1.1997317241477272,0.15838894276202836,-0.002633055605236818,-0.004476863487443182,1.2405289037761364,0.03618782569181251,0.018445808700998854,-0.7479211205402044,4.073811740817329,3.932478779294319,3.6156207742965916,4.033213061248626,4.622807782470568,4.75228898757587,4.568937409888011,4.075109304798295,5.279705334628581,4.920206764133068,5.907730848131817,5.838954140375,5.470418353811796,5.876983872115282,4.975936856428238,1.1559096256590908,1.1160961341671594,1.2297710662478978,1.2568950984090907,1.3068371793352271,1.2824197966082391,1.180642599318182,-0.004044473760541479,-0.007472899185895398,-0.008509490366829544,-0.009697005412045457,-0.008175131190888068,-0.0046413161468293745,0.0007826695517107946,-0.004667861057888067,-0.007622206352229601,-0.0004730251049111932,-0.0020101568464772727,-0.0023017663771092126,-0.0033580728073943178,-0.008890747865121076,-0.003544659399212501,-0.007448067517189773,-0.006973203893423124,-0.005950858931875,-0.004072543690737045,-0.0036300241372631253,-0.0048179523105164775,-0.00466997389063085,-0.004020887846477972,-0.00223276170283125,-0.0038673919140295456,-0.0013728228979994323,-0.008441480343171819,-0.004840490726072728,-0.0031366765848295447,-0.003873378902962159,-0.002256225962954602,-0.0031360161610977273,-0.002663153476509887,-0.002748167714470341,-0.00304743840155705,-0.00584116155167784,-0.009078111827040342,-0.0035739063139946592,-0.008999925527175,-0.00684548674748585,-0.006110285381439375,-0.0038452824738465907,23.493349362551346,-9.221043471430622,0.9128939076022728,0.19353008980168643,0.6390194147954545,0.4565991528473862,0.276623,0.306023,0.000390393,0.00252904,0.0712391,1,0.264819,0.38243,-0.198525,0.169696,-0.081053,-0.263951,0.108971,-0.249155,0,0.964298,0.380232,-0.291249,0.114405,-0.235971,0.129939,0.307483,0.362272,0,0,0.842123,-0.0789594,-0.0195667,0.319931,0.330285,0.309809,0.21006,0,0,0,0.932484,-0.244668,0.0779692,-0.278299,0.2087,0.612118,0,0,0,0,0.94756,0.362775,0.158355,0.433799,-0.00837844,0,0,0,0,0,0.835289,-0.00781187,0.149723,-0.48143,0,0,0,0,0,0,0.837717,0.229849,0.191855,0,0,0,0,0,0,0,0.700438,0.244922,0,0,0,0,0,0,0,0,0.243367,4.0889016241568275,5.479027005645826,1.2112307183526188,-0.004732187254957847,-0.008590228069448928,-0.004483484852409961,-0.004981963605395759,-0.002874615669983831,-0.006452718890264147
0.05,4.13516995150608,5.302537921441478,-2.558818979318182,-2.486801258295455,0.10727566792613638,0.9187363443181822,1.1552317241477272,0.09017374276202836,-0.0026091556052368183,-0.005010093487443182,1.2060989037761365,0.03193132569181251,0.026032708700998854,-0.7357471205402044,3.9150317408173296,3.688708779294319,3.9714407742965916,3.913383061248626,4.839757782470568,4.43581898757587,4.723397409888011,4.054289304798296,4.935345334628581,4.615486764133068,5.550660848131817,5.834874140375,5.370358353811796,5.799763872115283,4.725686856428238,0.8127246256590908,0.8583451341671593,1.267011066247898,1.2434650984090907,1.3290371793352271,1.386209796608239,1.1723625993181819,-0.005348343760541478,-0.004482979185895398,-0.006914330366829545,-0.009711035412045457,-0.008018071190888067,-0.004202196146829375,-0.0013070304482892053,-0.0035524110578880673,-0.0031114963522296006,-0.0004068178049111932,-0.002080876846477273,-0.006869906377109212,-0.0037643228073943177,-0.0061620578651210775,-0.005277699399212501,-0.006840737517189773,-0.008350693893423125,-0.0061847289318749995,-0.005690993690737045,-0.008347104137263126,-0.006914512310516477,-0.0033288538906308504,-0.004667767846477972,-0.00224500170283125,-0.007488991914029546,-0.004515242897999433,-0.009279730343171817,-0.007554290726072728,-0.0029012465848295447,-0.0037862089029621587,-0.0021483459629546018,-0.003211036161097727,-0.0020529434765098865,-0.002472497714470341,-0.0026396484015570503,0.0012364584483221604,-0.0006384058270403432,-0.011055956313994659,-0.008983235527175,-0.01134538674748585,-0.009528375381439375,-0.0005599444738465905,14.951449362551347,-17.61004347143062,0.8749509076022728,0.19479908980168642,0.6331744147954546,0.5667561528473862,0.414617,0.316072,0.00138165,0.00294859,0.154934,1,0.254506,-0.354771,-0.096563,0.0669805,0.246365,-0.443495,-0.17446,0.0410524,0,0.967071,0.548449,0.164896,0.121346,-0.0576603,-0.328673,0.215504,-0.131592,0,0,0.757193,0.229732,-0.299948,0.0941285,-0.0943494,-0.171082,-0.249551,0,0,0,0.95431,0.135972,-0.180655,-0.22154,-0.010717,0.578636,0,0,0,0,0.933987,-0.690575,-0.151462,-0.429734,-0.301092,0,0,0,0,0,0.646212,0.202977,-0.561419,0.0874172,0,0,0,0,0,0,0.757076,0.340596,-0.541084,0,0,0,0,0,0,0,0.527134,0.079157,0,0,0,0,0,0,0,0,0.431935,4.517145368850442,5.134777877129601,1.1124221911240795,-0.007307608821260398,-0.006121608493642795,-0.000173961407408732,-0.006420803137036215,-0.006151373850648945,-0.001541509584539007
0.05,4.796879951506079,5.565277921441478,-2.644018979318182,-2.580961258295455,0.10490466792613638,1.197750344318182,1.2152917241477272,0.08402974276202835,-0.002592535605236818,-0.004807333487443183,1.1570089037761364,0.03198732569181251,0.025993708700998854,-0.6941411205402044,4.78494174081733,4.460588779294319,5.330510774296592,4.699143061248626,5.127457782470568,4.90476898757587,4.858247409888011,4.5084993047982955,5.51031533462858,5.240686764133068,6.129610848131817,6.228434140375,5.938418353811796,5.989033872115282,5.301256856428238,1.0571596256590907,0.9060951341671593,1.4005610662478978,1.2572650984090907,1.3144071793352272,1.405409796608239,1.1913725993181818,-0.003946543760541478,-0.002838059185895398,-0.0067570803668295445,-0.009391195412045457,-0.006157781190888068,-0.0036379561468293745,-0.0014406404482892054,-0.004182901057888067,-0.0101305863522296,-0.0004394290049111932,-0.001859476846477273,-0.0022057863771092123,-0.003035122807394318,-0.0066763078651210775,-0.003249279399212501,-0.006767777517189773,-0.003902793893423125,-0.005996128931875,-0.0032074736907370454,-0.0035776541372631253,-0.006298712310516478,-0.00490220389063085,-0.0008904328464779721,-0.01029622170283125,-0.007528381914029545,-0.005892182897999432,-0.007424110343171817,-0.004503240726072728,-0.002675196584829545,-0.0035889689029621587,-0.001576665962954602,-0.0026742861610977273,-0.0019397134765098865,-0.001619107714470341,-0.00261253840155705,-0.0058090815516778395,-0.006955161827040343,-0.0068462563139946595,-0.009067695527175,-0.00407316674748585,-0.006629105381439375,-0.0023271424738465904,13.888949362551347,-11.700943471430621,0.8956729076022728,0.20287608980168642,0.6319384147954545,0.5129081528473862,0.248364,0.315359,0.000699924,0.00218366,0.193348,1,0.170542,0.243687,-0.0853595,-0.214925,-0.195639,0.292586,-0.204048,-0.20956,0,0.98535,-0.0960805,-0.491074,0.562101,0.0569777,-0.162243,0.351806,-0.193063,0,0,0.965083,-0.0670507,0.549971,0.0890446,-0.136069,0.333227,0.327483,0,0,0,0.864329,-0.378338,0.174905,0.103571,0.468098,-0.0391437,0,0,0,0,0.438453,0.673753,0.276307,0.193863,0.330276,0,0,0,0,0,0.682653,-0.0384634,0.543232,0.0273073,0,0,0,0,0,0,0.883744,0.075598,0.658467,0,0,0,0,0,0,0,0.407483,-0.0233048,0,0,0,0,0,0,0,0,0.515832,4.768387207104449,4.850621894638462,1.2197582453566305,-0.0038410076800932135,-0.007145179140868053,-0.007182102252493144,-0.006301610003379991,-0.0037645983000976413,-0.0049927408933960905
0.05,4.716529951506079,5.459267921441478,-2.668478979318182,-2.5460012582954548,0.10547566792613638,1.0480003443181822,1.126871724147727,0.11285294276202835,-0.0026852556052368182,-0.005280423487443182,1.1062789037761365,0.027629325691812506,0.028855008700998854,-0.6428751205402045,4.70778174081733,4.601128779294319,4.303330774296592,4.828833061248625,5.283127782470569,4.96188898757587,5.092627409888011,4.252109304798295,5.234655334628581,5.282896764133068,5.841570848131817,6.244204140375,5.754758353811797,5.888793872115283,4.804106856428238,0.9541496256590908,0.9977961341671593,1.4356110662478978,1.2346050984090908,1.297137179335227,1.305239796608239,1.156692599318182,-0.003321513760541478,-0.0065218591858953985,-0.0055333403668295445,-0.009165445412045456,-0.004608061190888068,-0.003908066146829375,-0.006673970448289206,-0.004955801057888067,-0.0058059963522296,-0.0009771661049111932,-0.0020957668464772726,-0.0051105463771092124,-0.0031518628073943177,-0.006838877865121077,-0.004988689399212501,-0.0038052275171897728,-0.0033347638934231247,-0.006364818931875,-0.009348943690737046,-0.006890794137263125,-0.0042027923105164774,-0.0021980738906308504,-0.006390097846477972,-0.00589547170283125,-0.0047430419140295456,-0.007601172897999432,-0.008517040343171817,-0.003925920726072727,-0.003007406584829545,-0.0036327189029621587,-0.0018913859629546021,-0.0025889261610977272,-0.0018468634765098865,-0.002092957714470341,-0.00225059840155705,-0.00562444155167784,-0.004180741827040343,-0.008449936313994658,-0.008554625527175001,-0.00680264674748585,-0.006448115381439375,-0.00683337247384659,14.724349362551347,-8.603173471430622,0.9058009076022728,0.20392608980168642,0.6330194147954545,0.5418831528473862,0.320758,0.4192,0.000606393,0.00203532,0.145001,1,0.171093,-0.0139744,-0.110763,0.357956,-0.527318,-0.4093,0.219228,0.0509326,0,0.985255,0.500849,0.280452,0.374578,-0.0535073,-0.119794,-0.13932,-0.103621,0,0,0.865422,0.0842475,0.0505302,-0.0336901,-0.224164,0.498756,-0.419714,0,0,0,0.949727,0.0388248,-0.133834,-0.218393,0.120024,0.26731,0,0,0,0,0.852935,0.40178,-0.240597,0.290297,-0.188408,0,0,0,0,0,0.733893,0.133756,-0.39753,0.0636854,0,0,0,0,0,0,0.802746,0.0739281,-0.643285,0,0,0,0,0,0,0,0.649306,0.25591,0,0,0,0,0,0,0,0,0.469249,4.77456776811439,5.616937775004035,1.2538180558321599,-0.0024559340984182066,-0.005647030907436415,-0.005745876240241825,-0.00620358495653614,-0.002091882307422158,-0.004612812645374555
0.05,4.643799951506079,5.578907921441478,-2.558168979318182,-2.499201258295455,0.10008266792613639,1.0638603443181822,1.1031717241477272,0.03712634276202835,-0.0025366256052368184,-0.005272553487443182,1.1526489037761365,0.035211525691812504,0.017607708700998856,-0.6909071205402044,4.14301174081733,4.373678779294319,4.793480774296592,4.477253061248626,4.8362477824705685,4.79346898757587,4.743877409888011,4.291159304798295,5.246905334628581,4.603386764133068,6.117710848131817,6.114594140375,5.3274183538117965,5.835973872115282,4.8431968564282375,0.9293336256590908,0.9855661341671593,1.2212110662478979,1.2587750984090906,1.2947671793352271,1.371619796608239,1.173722599318182,-0.0033867237605414782,-0.004296019185895398,-0.008230380366829545,-0.009390295412045457,-0.0032979711908880673,-0.003347996146829375,-0.005642460448289205,-0.007122961057888067,-0.0099494363522296,-0.0009692631049111933,-0.0019327368464772728,-0.005344496377109213,-0.003918272807394318,-0.004521887865121078,-0.003916239399212502,-0.0045713775171897725,-0.008165173893423125,-0.006173408931875,-0.005841733690737046,-0.005727154137263125,-0.006363342310516477,-0.010422873890630851,-0.003195327846477972,-0.00592703170283125,-0.007258891914029546,-0.004960262897999433,-0.007834850343171818,-0.005301910726072728,-0.0031854565848295447,-0.003482218902962159,-0.0021025459629546023,-0.0027880361610977274,-0.0021134534765098866,-0.001980597714470341,-0.00240696840155705,-0.009334981551677838,-0.0051605618270403435,-0.003457546313994659,-0.008813475527175001,-0.005654656747485849,-0.0071874753814393745,-0.0025095724738465903,19.216949362551347,-9.954943471430623,0.8901969076022729,0.20190208980168642,0.6357484147954545,0.48778015284738624,0.152038,0.468478,0.000432823,0.00170089,0.141076,1,0.179718,0.244778,0.0886416,-0.143403,0.298423,0.261483,-0.31849,-0.321651,0,0.983718,-0.112426,-0.360594,0.494258,0.137755,-0.444187,-0.0907949,-0.403262,0,0,0.963039,0.24991,0.484656,0.165708,-0.129574,0.308031,0.08444,0,0,0,0.894237,-0.351717,0.203561,-0.0736365,0.285078,-0.0393174,0,0,0,0,0.613635,-0.383249,-0.354226,0.188153,-0.236449,0,0,0,0,0,0.822308,-0.0893441,-0.549326,-0.11886,0,0,0,0,0,0,0.760693,0.237802,0.69301,0,0,0,0,0,0,0,0.566089,-0.021828,0,0,0,0,0,0,0,0,0.417695,4.6351754095837885,6.472537472376313,0.8661335515782191,-0.006721924291201147,-0.0054161014756587585,-0.005033574804995019,-0.006095106639208005,-0.0030143977697798,-0.005927106771066636
0.05,4.6409899515060795,5.624977921441478,-2.595718979318182,-2.535661258295455,0.10647166792613638,0.9969103443181822,1.0159817241477271,0.06486834276202835,-0.002819995605236818,-0.005483723487443182,1.2244789037761363,0.034283025691812505,0.022397108700998855,-0.6715631205402044,3.9949717408173298,4.187698779294319,4.883260774296592,4.545093061248625,4.860887782470568,4.85568898757587,4.907287409888011,4.260769304798296,5.06497533462858,4.861916764133068,5.854200848131817,6.223174140375,5.372438353811797,5.984973872115282,4.799096856428238,0.9396606256590908,0.8950571341671593,1.3354910662478978,1.2584950984090908,1.269617179335227,1.427809796608239,1.204622599318182,-0.005170353760541478,-0.006036219185895398,-0.0054646903668295445,-0.009723335412045456,-0.003797271190888067,-0.004057136146829374,-0.007719930448289205,-0.006938861057888067,-0.0079184963522296,-0.0016200091049111932,-0.002119356846477273,-0.006825186377109212,-0.0028782328073943177,-0.005251227865121078,-0.006445619399212501,-0.003572057517189773,-0.009879963893423126,-0.006077138931875,-0.004933233690737045,-0.007896554137263125,-0.006791752310516478,-0.0062620438906308504,-0.007402197846477972,-0.00473888170283125,-0.0048168019140295455,-0.008157742897999433,-0.007919400343171817,-0.006137180726072728,-0.002929546584829545,-0.003800538902962159,-0.002279175962954602,-0.0030146261610977275,-0.0028280934765098865,-0.002396667714470341,-0.00244716840155705,-0.004925361551677839,-0.006895741827040343,-0.004183196313994659,-0.008497765527175,-0.00726656674748585,-0.006544935381439375,-0.006803072473846591,17.78154936255135,-10.950843471430622,0.8632669076022729,0.19751408980168642,0.6343164147954545,0.5188121528473862,0.184459,0.486998,0.000414173,0.00184962,0.12083,1,0.165688,-0.0258008,0.148316,-0.124932,0.316761,0.0578071,-0.408658,-0.12344,0,0.986178,0.100313,-0.25223,0.172969,0.0622131,-0.116157,0.0552752,-0.0330381,0,0,0.994621,0.345133,0.403082,-0.00981372,-0.162635,0.497258,-0.196239,0,0,0,0.891777,-0.306931,-0.0474376,-0.284298,0.298146,0.365097,0,0,0,0,0.83534,-0.438861,-0.142623,-0.199628,-0.254226,0,0,0,0,0,0.837166,-0.0816953,-0.587249,-0.190353,0,0,0,0,0,0,0.921344,-0.058068,0.630106,0,0,0,0,0,0,0,0.325119,-0.186581,0,0,0,0,0,0,0,0,0.52835,4.285565395739619,5.116274863227408,1.1725521634196436,-0.008271590123873792,-0.003883874782524271,-0.00728372814557054,-0.003956194463621186,-0.0025948949967106666,-0.006848576001766974
0.05,4.625019951506079,5.720047921441478,-2.571198979318182,-2.5446312582954547,0.10076966792613638,0.9650263443181821,0.9727287241477272,0.29379194276202836,-0.0020791156052368184,-0.006208093487443183,1.2674389037761364,0.03587192569181251,0.026729008700998855,-0.6716051205402044,4.16258174081733,3.911588779294319,3.6648607742965917,4.417543061248626,4.829007782470568,4.53748898757587,4.72885740988801,4.288839304798295,5.44061533462858,5.229756764133068,6.500980848131817,6.496514140375,5.656848353811796,6.218913872115283,4.876876856428238,0.9570866256590909,0.9363411341671593,1.5779610662478978,1.2474250984090907,1.3245771793352272,1.358649796608239,1.181912599318182,-0.0012466637605414782,-0.004048299185895398,-0.006092960366829545,-0.009251955412045458,-0.006237221190888067,-0.003611976146829375,-0.009437160448289206,-0.003511841057888067,-0.006490206352229601,0.0003017478950888068,-0.002055856846477273,-0.005430126377109212,-0.0036439028073943177,-0.009905677865121077,-0.0028993493992125014,-0.008413887517189772,-0.0025346238934231247,-0.006107638931875,-0.0046438736907370454,-0.0033638441372631253,-0.008415292310516477,-0.0057260338906308505,-0.005876297846477972,-0.00555868170283125,-0.007574391914029545,-0.005640222897999432,-0.007438010343171817,-0.008563910726072727,-0.002915636584829545,-0.003446168902962159,-0.0007721229629546021,-0.0027156861610977273,-0.0017275634765098866,-0.0021584277144703406,-0.0023259284015570503,-0.00771802155167784,-0.008733631827040345,-0.0056039563139946595,-0.008600205527175001,-0.00660113674748585,-0.0070942853814393745,-0.004021092473846591,17.648049362551347,-10.233943471430623,0.8958399076022728,0.1916790898016864,0.6325434147954545,0.5122041528473862,0.337812,0.488453,0.000686083,0.00248687,0.192868,1,0.40798,0.739343,0.000668988,-0.0941663,-0.192778,-0.0151076,0.125208,0.0244812,0,0.912991,0.206238,0.116628,0.421312,-0.0171738,-0.40437,-0.143013,0.118287,0,0,0.640966,-0.00472534,0.0409006,-0.116917,-0.0422296,0.628754,0.202317,0,0,0,0.993164,-0.204004,0.0333709,0.340858,-0.0101973,0.00452212,0,0,0,0,0.877689,0.57902,0.0239196,0.260091,-0.0129705,0,0,0,0,0,0.78262,-0.129571,0.313441,0.0607268,0,0,0,0,0,0,0.837214,0.0500357,-0.719969,0,0,0,0,0,0,0,0.632485,0.429233,0,0,0,0,0,0,0,0,0.487857,4.781821268354351,6.075990646066636,1.3883906789222928,-0.0071660432618264195,-0.007828445461745312,-0.00827030139318239,-0.006733040647055934,-0.0021694543304148477,-0.005351301823652495
0.05,4.089839951506079,5.2930879214414785,-2.575328979318182,-2.515921258295455,0.10163466792613639,1.1301303443181823,1.1145217241477272,0.06922294276202835,-0.0032916556052368182,-0.005280333487443182,1.2930389037761363,0.03296412569181251,0.022173008700998854,-0.6918231205402045,4.3872217408173295,4.469808779294319,4.413430774296591,4.499603061248625,4.920517782470569,4.94077898757587,4.9637674098880105,3.7653293047982954,5.349055334628581,4.935216764133068,5.446910848131817,6.293954140375,5.290718353811797,6.064053872115283,4.974016856428238,1.0283596256590908,1.0018061341671594,1.136891066247898,1.2889050984090908,1.3275171793352272,1.468839796608239,1.1933425993181819,-0.006306173760541478,-0.005024399185895399,-0.007414620366829544,-0.009660655412045457,-0.009645831190888066,-0.004288376146829375,-0.006028400448289205,-0.0007700540578880672,-0.0025077063522296007,0.0004768228950888068,-0.002120216846477273,-0.002272476377109212,-0.0026437028073943176,-0.007145947865121078,-0.0024795493992125013,-0.003163697517189773,-0.003788583893423125,-0.006076278931875,-0.004845983690737046,-0.009166324137263124,-0.005777702310516477,-0.00838878389063085,-0.009745757846477972,-0.00587017170283125,-0.006658801914029545,-0.004096422897999432,-0.008515530343171818,-0.006378790726072728,-0.0031863265848295448,-0.003930628902962158,-0.0007125809629546021,-0.002971876161097727,-0.00046064547650988654,-0.002232197714470341,-0.00247507840155705,-0.0052536415516778396,-0.004514941827040343,-0.005588676313994659,-0.008535765527175,-0.00805251674748585,-0.010784035381439374,-0.0030339024738465907,11.099749362551348,-11.785343471430622,0.9219419076022728,0.20622008980168643,0.6353114147954546,0.5218521528473862,0.359709,0.352562,0.00167827,0.0022221,0.119387,1,0.457708,-0.139268,-0.350048,0.419041,0.0235697,-0.0307618,0.242715,-0.391481,0,0.889103,0.281205,-0.0699575,-0.209143,-0.583814,-0.206943,-0.265346,-0.22226,0,0,0.949488,0.221066,-0.179211,-0.285252,0.418536,0.297131,-0.523915,0,0,0,0.90758,-0.221655,-0.131526,-0.317905,-0.146316,-0.10198,0,0,0,0,0.836311,-0.286366,-0.138446,0.535627,-0.0315695,0,0,0,0,0,0.691326,0.419902,-0.335043,-0.0747275,0,0,0,0,0,0,0.696066,-0.0700644,0.6006,0,0,0,0,0,0,0,0.597432,-0.254018,0,0,0,0,0,0,0,0,0.283953,3.7115328060060486,5.272040339364002,1.228633948279538,-0.006552594573882614,-0.003128402306072723,-0.008732288183920257,-0.008016923280223822,-0.0008249000411908653,-0.003893909788744657
