"T","mu_theta1","mu_theta1a","theta2","theta2a","theta3","theta4","theta4a","theta5","mu_theta6","mu_theta6b","mu_theta7","theta9","theta9a","theta6xc","theta1a_Ca_smallM","theta1_reg_Al","theta1_reg_Ca","theta1_reg_CAM","theta1_reg_Ja","theta1_reg_NZ","theta1_reg_SA","theta1_reg_Tw","theta1a_reg_Al","theta1a_reg_Ca","theta1a_reg_CAM","theta1a_reg_Ja","theta1a_reg_NZ","theta1a_reg_SA","theta1a_reg_Tw","theta7_reg_Al","theta7_reg_Ca","theta7_reg_CAM","theta7_reg_Ja","theta7_reg_NZ","theta7_reg_SA","theta7_reg_Tw","theta6x1_reg_Al","theta6x1_reg_Ca","theta6x1_reg_CAM","theta6x1_reg_Ja","theta6x1_reg_NZ","theta6x1_reg_SA","theta6x1_reg_Tw","theta6x2_reg_Al","theta6x2_reg_Ca","theta6x2_reg_CAM","theta6x2_reg_Ja","theta6x2_reg_NZ","theta6x2_reg_SA","theta6x2_reg_Tw","theta6x3_reg_Al","theta6x3_reg_Ca","theta6x3_reg_CAM","theta6x3_reg_Ja","theta6x3_reg_NZ","theta6x3_reg_SA","theta6x3_reg_Tw","theta61_reg_Al","theta61_reg_Ca","theta61_reg_CAM","theta61_reg_Ja","theta61_reg_NZ","theta61_reg_SA","theta61_reg_Tw","theta62_reg_Al","theta62_reg_Ca","theta62_reg_CAM","theta62_reg_Ja","theta62_reg_NZ","theta62_reg_SA","theta62_reg_Tw","theta63_reg_Al","theta63_reg_Ca","theta63_reg_CAM","theta63_reg_Ja","theta63_reg_NZ","theta63_reg_SA","theta63_reg_Tw","dzb_if","dzb_slab","nft_1","nft_2","phi","tau","psi_theta1","psi_theta1a","psi_theta6","psi_theta6b","psi_theta7","L_reg.1.1","L_reg.2.1","L_reg.3.1","L_reg.4.1","L_reg.5.1","L_reg.6.1","L_reg.7.1","L_reg.8.1","L_reg.9.1","L_reg.1.2","L_reg.2.2","L_reg.3.2","L_reg.4.2","L_reg.5.2","L_reg.6.2","L_reg.7.2","L_reg.8.2","L_reg.9.2","L_reg.1.3","L_reg.2.3","L_reg.3.3","L_reg.4.3","L_reg.5.3","L_reg.6.3","L_reg.7.3","L_reg.8.3","L_reg.9.3","L_reg.1.4","L_reg.2.4","L_reg.3.4","L_reg.4.4","L_reg.5.4","L_reg.6.4","L_reg.7.4","L_reg.8.4","L_reg.9.4","L_reg.1.5","L_reg.2.5","L_reg.3.5","L_reg.4.5","L_reg.5.5","L_reg.6.5","L_reg.7.5","L_reg.8.5","L_reg.9.5","L_reg.1.6","L_reg.2.6","L_reg.3.6","L_reg.4.6","L_reg.5.6","L_reg.6.6","L_reg.7.6","L_reg.8.6","L_reg.9.6","L_reg.1.7","L_reg.2.7","L_reg.3.7","L_reg.4.7","L_reg.5.7","L_reg.6.7","L_reg.7.7","L_reg.8.7","L_reg.9.7","L_reg.1.8","L_reg.2.8","L_reg.3.8","L_reg.4.8","L_reg.5.8","L_reg.6.8","L_reg.7.8","L_reg.8.8","L_reg.9.8","L_reg.1.9","L_reg.2.9","L_reg.3.9","L_reg.4.9","L_reg.5.9","L_reg.6.9","L_reg.7.9","L_reg.8.9","L_reg.9.9"
0.25,3.9558953390060796,4.662565096441479,-2.250451570568182,-2.1427370201829548,0.09386266161363635,0.9444408568181818,1.191903710397727,0.3121040876677434,-0.0035798186231818185,-0.005023653602443183,2.2644601335261365,0.028338700886812503,0.01981154515099886,-0.5784359067902045,3.9101907408173298,3.5854684042943186,4.644796299296591,3.9900504487486255,4.15007109497057,4.37525086257587,4.147547134888012,3.312561367298296,4.590651172128579,4.519330826633069,5.112083998131817,4.922001527875002,4.911153966311796,4.917352959615285,4.382018356428238,1.600568146284091,2.0414329542784095,2.429156411360398,2.008744045909091,2.4015199272102272,2.4770129811619888,2.267486008693181,-0.002497421426741477,-0.0027696342013953977,-0.008997104145579544,-0.009657028262045455,-0.007586696473388067,-0.004237180770579375,-0.004919665929664206,-0.003953387179600566,-0.004344306550604601,-0.00037937299973619324,-0.0028524717409772727,-0.004910020040734213,-0.0031751652117193176,-0.006649412110871079,-0.005322440556337501,-0.0067611738440647735,-0.003592615207023126,-0.007029057253124999,-0.0025109101094870447,-0.005433758156438125,-0.007978526571766478,-0.001173322307830852,-0.002315925824915471,-0.0033704159453312515,-0.004773329283404544,-0.00794413056438693,-0.007729343080671818,-0.003318031955322727,-0.0032742922248295446,-0.005360487980740908,-0.0018246943881608517,-0.0036349609347727263,-0.0036067958740136365,-0.002792202015784091,-0.0037798346615570515,-0.004784281702377842,-0.005154555921452843,-0.007660115553280909,-0.009443651852175,-0.003356813506497102,-0.0054628565035643745,-0.005538565710684091,17.444041263801346,-22.394100681430622,0.8612211561772729,0.19437801021363643,0.6529660752954547,0.4973224488394363,0.434356,0.240634,0.00122676,0.00279833,0.236596,1,0.0477909,0.240186,-0.316312,0.0837128,0.172314,-0.107005,-0.00207663,-0.251302,0,0.998857,-0.011541,0.015724,0.367799,-0.267689,0.137372,0.00898175,0.198882,0,0,0.970658,-0.0967992,0.0587073,-0.0938617,-0.113924,0.445374,-0.152474,0,0,0,0.943573,0.0745217,-0.619179,0.43588,-0.258283,0.359482,0,0,0,0,0.921258,-0.341339,0.309667,0.330325,-0.483028,0,0,0,0,0,0.624456,-0.0365068,0.228445,0.0185737,0,0,0,0,0,0,0.818219,0.490525,-0.137661,0,0,0,0,0,0,0,0.577001,0.18344,0,0,0,0,0,0,0,0,0.677167
0.25,4.009135339006079,4.548015096441478,-2.278811570568182,-2.109877020182955,0.09649996161363635,1.0614708568181819,1.249583710397727,0.0689740876677434,-0.0038577286231818186,-0.007723323602443183,2.0988701335261366,0.036818300886812504,0.025136745150998858,-0.5066609067902046,3.62490074081733,4.021228404294318,3.9357562992965915,4.0595304487486255,4.026941094970569,4.0667208625758695,4.046817134888012,3.958371367298296,4.576691172128579,4.407360826633068,4.483133998131818,4.711721527875002,4.762223966311796,4.422162959615285,4.328448356428238,1.806448146284091,2.1022329542784095,2.599586411360398,2.009504045909091,2.3401799272102273,2.639102981161989,2.293986008693181,-0.006594061426741477,-0.007347094201395398,-0.008769204145579544,-0.010213498262045454,-0.005844886473388067,-0.004159150770579375,-0.009336655929664206,-0.007943637179600565,-0.010022976550604601,-0.0012150189997361931,-0.0030781117409772727,-0.0052458500407342136,-0.0038364252117193175,-0.008879192110871077,-0.004930150556337501,-0.008602023844064773,-0.009633165207023125,-0.006956107253125,-0.005885150109487045,-0.007532558156438125,-0.0075762965717664785,-0.011493162307830852,-0.007358005824915471,-0.010412455945331252,-0.010202529283404545,-0.005389980564386931,-0.007647973080671818,-0.009332981955322728,-0.003938572224829545,-0.005288847980740908,-0.002128244388160852,-0.0036233509347727262,-0.0019973058740136366,-0.002322212015784091,-0.004733894661557051,-0.008753861702377842,-0.007869035921452845,-0.005731395553280909,-0.009926651852175,-0.004352133506497101,-0.0012959465035643747,-0.004947405710684091,15.964441263801346,-20.520000681430624,0.8662181561772728,0.17832101021363644,0.6550270752954547,0.5042214488394363,0.0355301,0.123568,0.00112295,0.00280134,0.224027,1,0.446233,0.159598,0.0660753,0.27181,-0.137597,0.058571,0.539505,0.134716,0,0.894917,-0.26935,0.249385,-0.222533,0.259572,-0.0277017,0.0469583,-0.450271,0,0,0.949726,0.329309,0.223756,0.0531416,-0.0889122,0.140392,0.296671,0,0,0,0.908293,-0.341443,0.802462,-0.567835,0.334299,0.233408,0,0,0,0,0.842584,0.303335,-0.289468,0.31353,0.247291,0,0,0,0,0,0.418221,0.0402402,0.373693,0.23032,0,0,0,0,0,0,0.761609,0.0382155,0.100453,0,0,0,0,0,0,0,0.579531,-0.314309,0,0,0,0,0,0,0,0,0.643066
0.25,4.147805339006079,4.613225096441479,-2.265191570568182,-2.076737020182955,0.08674336161363636,1.0590108568181817,1.278753710397727,0.0122933376677434,-0.004054798623181819,-0.005819563602443183,2.1940401335261366,0.031313000886812506,0.03033904515099886,-0.5548019067902046,3.84266074081733,4.074318404294319,3.9424362992965913,4.277440448748625,4.399221094970569,4.30775086257587,4.499277134888012,3.926591367298296,4.613441172128579,4.859490826633069,4.694953998131818,4.853231527875002,4.983263966311795,4.488592959615285,4.395358356428238,1.887968146284091,1.9010029542784097,2.554976411360398,2.013834045909091,2.3122099272102274,2.6485129811619887,2.266866008693181,-0.009061721426741477,-0.002738224201395398,-0.008336634145579544,-0.010000458262045453,-0.008256256473388067,-0.004626960770579375,-0.006104875929664206,-0.005588747179600566,-0.0082538565506046,-0.0013853189997361933,-0.0027506317409772725,-0.004077680040734213,-0.0027060452117193177,-0.007813642110871079,-0.0026323705563375006,-0.003150833844064773,-0.008569345207023127,-0.006951637253124999,-0.0063681901094870446,-0.009988798156438125,-0.0025602465717664783,-0.004822432307830852,-0.007467055824915471,-0.008570165945331252,-0.004456979283404544,-0.008915600564386932,-0.006549203080671817,-0.005802811955322727,-0.0033901922248295445,-0.005440907980740908,-0.0021725443881608518,-0.003747150934772726,-0.002391095874013637,-0.002474942015784091,-0.004190444661557051,-0.010644761702377842,-0.0050143859214528425,-0.004836955553280909,-0.009271791852175,-0.007067673506497102,-0.008409206503564373,-0.005561525710684091,18.935541263801348,-22.37290068143062,0.8453821561772729,0.20732901021363645,0.6439930752954547,0.45796144883943635,0.217069,0.385408,0.00107986,0.00242657,0.161424,1,0.256176,0.406411,0.108115,0.239822,-0.529226,-0.170067,0.416466,-0.169927,0,0.96663,-0.0984063,-0.0248246,0.284388,0.305049,-0.0295476,0.248832,0.235177,0,0,0.908375,0.0305668,0.197113,-0.144453,-0.147707,0.453035,0.348607,0,0,0,0.993358,-0.108852,-0.243602,-0.162323,-0.558851,0.0270231,0,0,0,0,0.900504,-0.532022,-0.398947,-0.170374,-0.492757,0,0,0,0,0,0.513428,-0.369636,0.290145,-0.514509,0,0,0,0,0,0,0.791359,-0.145778,-0.088421,0,0,0,0,0,0,0,0.33559,-0.150472,0,0,0,0,0,0,0,0,0.50554
0.25,4.12698533900608,4.685765096441479,-2.2855515705681824,-2.1381170201829547,0.09264896161363635,0.9583928568181819,1.227573710397727,0.0083735876677434,-0.0033673686231818186,-0.007181463602443183,2.1121901335261364,0.0331164008868125,0.03376654515099886,-0.5658529067902046,3.68882074081733,4.067698404294319,3.7884662992965916,4.300460448748626,4.200191094970569,4.57110086257587,4.458617134888012,3.8020113672982956,4.697351172128579,4.849370826633068,4.726753998131818,4.940451527875002,5.182553966311795,4.796652959615285,4.4988783564282375,1.642748146284091,1.9737329542784097,2.403766411360398,1.9792140459090908,2.312439927210227,2.3906429811619887,2.2355760086931813,-0.006418461426741477,-0.004400494201395397,-0.007876054145579545,-0.010082238262045453,-0.003361616473388067,-0.004422310770579375,-0.005705645929664206,-0.006675487179600566,-0.007902066550604601,-0.0017641989997361932,-0.0024041017409772727,-0.008315190040734215,-0.0032559952117193177,-0.012172092110871079,-0.0040723105563375,-0.008999383844064773,-0.009111565207023126,-0.006997147253125,-0.009582530109487043,-0.010956678156438126,-0.006247986571766478,-0.009307012307830851,-0.005687355824915471,-0.005389025945331251,-0.010104929283404545,-0.005296090564386931,-0.007821423080671817,-0.010304951955322727,-0.003302222224829545,-0.005025677980740908,-0.0021451643881608517,-0.0034551009347727262,-0.0033378458740136365,-0.002753802015784091,-0.0037961146615570515,-0.004000061702377843,-0.012957685921452841,-0.009412605553280908,-0.009457231852175,-0.007933003506497102,-0.005505846503564375,-0.005675895710684091,20.111341263801343,-23.500500681430623,0.8416651561772729,0.18242101021363644,0.6494670752954547,0.5147324488394364,0.206548,0.403045,0.000935528,0.00257719,0.197882,1,0.271533,0.0558759,0.390542,0.147226,0.0700006,0.315155,0.602616,0.114062,0,0.962429,0.0208448,-0.119948,-0.162669,-0.512343,-0.0408697,0.113223,0.0840456,0,0,0.99822,-0.0219558,0.0285059,-0.445124,-0.240807,0.0650206,-0.326396,0,0,0,0.912473,-0.197455,-0.138121,0.0279939,-0.0373041,-0.22362,0,0,0,0,0.955019,-0.0868596,-0.192418,-0.102056,-0.0152599,0,0,0,0,0,0.712634,-0.0404162,0.494269,0.0746832,0,0,0,0,0,0,0.895308,0.148646,-0.321803,0,0,0,0,0,0,0,0.584468,0.464927,0,0,0,0,0,0,0,0,0.705593
0.25,4.1648753390060795,4.751685096441479,-2.310451570568182,-2.1302670201829548,0.09226136161363635,0.9796808568181818,1.256453710397727,0.2070240876677434,-0.0038273086231818184,-0.006355633602443183,2.2511701335261365,0.028318400886812502,0.02811724515099886,-0.5373259067902045,3.85923074081733,4.254118404294318,4.443276299296591,4.598820448748626,4.455991094970569,4.64568086257587,4.712887134888012,3.7657513672982956,4.636751172128579,4.945390826633068,4.914213998131817,4.910521527875002,4.886523966311795,4.799012959615285,4.484698356428238,1.811548146284091,2.1934729542784095,2.294216411360398,1.996844045909091,2.2853399272102273,2.426552981161989,2.2911860086931815,-0.0032064614267414767,-0.0107391842013954,-0.008972794145579544,-0.009999438262045454,-0.011395216473388066,-0.0055856907705793745,-0.003241915929664206,-0.006934837179600566,-0.005908786550604601,-0.0011434889997361931,-0.0027579917409772726,-0.001782910040734213,-0.002336805211719318,-0.009543352110871078,-0.007394100556337501,-0.006561923844064773,-0.001988035207023126,-0.007153707253125,-0.0007831451094870448,-0.0016341581564381247,-0.012114446571766479,-0.008203012307830854,-0.010792805824915472,-0.007999245945331253,-0.008342629283404545,-0.008036920564386933,-0.007763383080671818,-0.007335091955322727,-0.0034682622248295445,-0.005357387980740908,-0.002721464388160852,-0.003510780934772726,-0.002763815874013637,-0.002688432015784091,-0.004040784661557051,-0.008237261702377843,-0.006197005921452843,-0.005663305553280909,-0.009683861852175001,-0.009911353506497102,-0.008569176503564375,-0.006416535710684091,16.882841263801346,-21.594900681430623,0.9069501561772728,0.19911201021363645,0.6502930752954547,0.5221854488394363,0.295562,0.142812,0.000820597,0.00255117,0.215996,1,0.491363,0.281283,-0.197594,0.656256,0.496123,-0.0226447,0.118932,-0.33761,0,0.870955,-0.0770544,-0.538079,0.315933,0.179375,0.321371,-0.369194,0.0184823,0,0,0.956526,0.0248315,-0.0626641,0.0855628,0.521297,-0.0673284,0.175766,0,0,0,0.819031,-0.192189,-0.291674,0.445642,0.129512,-0.144886,0,0,0,0,0.654714,0.218202,-0.101576,0.596441,-0.227349,0,0,0,0,0,0.76268,0.0458513,-0.0647163,0.679193,0,0,0,0,0,0,0.642993,0.277342,-0.138887,0,0,0,0,0,0,0,0.625616,-0.265999,0,0,0,0,0,0,0,0,0.48037
0.25,4.300955339006079,4.8433350964414785,-2.3446515705681823,-2.170737020182955,0.09712676161363636,1.000100856818182,1.119873710397727,0.0078297176677434,-0.0034001786231818184,-0.005226743602443183,2.0876701335261365,0.019913400886812503,0.03254324515099886,-0.5430679067902046,3.6532107408173298,3.9429884042943186,4.095676299296591,4.282610448748626,4.5689010949705695,4.480580862575869,4.6428971348880115,4.009811367298296,4.746461172128579,4.487770826633069,4.532903998131817,4.997011527875002,4.888443966311796,4.818182959615285,4.505408356428238,1.865018146284091,1.9802929542784096,2.573856411360398,1.997454045909091,2.3163499272102275,2.5039129811619887,2.265516008693181,-0.011094081426741478,-0.008014954201395398,-0.007637004145579545,-0.010039758262045454,-0.0034477364733880673,-0.004049240770579375,-0.008555755929664207,-0.003449327179600566,-0.004847966550604601,-0.0016226189997361933,-0.0025010917409772726,-0.0027302700407342132,-0.003953715211719317,-0.002470332110871079,-0.003919740556337501,-0.005178333844064773,-0.008246705207023126,-0.006992257253124999,-0.004106820109487045,-0.008264748156438125,-0.002814466571766478,-0.001699682307830852,-0.001103306824915471,-0.007059325945331252,-0.0032285292834045446,-0.008622940564386932,-0.007759533080671818,-0.003281531955322727,-0.0032097822248295447,-0.005005657980740908,-0.002443714388160852,-0.0032780909347727262,-0.002987055874013637,-0.002650412015784091,-0.003589294661557051,-0.00911096170237784,-0.003882405921452843,-0.0034557555532809094,-0.009709371852175,-0.0058353935064971016,-0.004088226503564375,-0.010948345710684091,11.347341263801344,-26.020200681430623,0.8406751561772728,0.19157001021363643,0.6504910752954547,0.5089034488394364,0.206798,0.183658,0.000760135,0.0022265,0.20866,1,0.289254,-0.110493,0.133502,-0.249625,-0.490943,0.0137772,0.179809,0.17025,0,0.957252,-0.263965,0.330417,-0.596591,0.104794,-0.100232,0.00575855,-0.0929824,0,0,0.958183,0.319889,0.194479,-0.0626895,-0.633733,0.403666,-0.00892098,0,0,0,0.87788,-0.24172,0.17258,-0.52264,-0.183801,0.612482,0,0,0,0,0.69679,-0.221409,0.0594757,-0.0623029,-0.0594712,0,0,0,0,0,0.815633,0.0423629,-0.0405561,-0.554679,0,0,0,0,0,0,0.556473,-0.449765,-0.0518302,0,0,0,0,0,0,0,0.750394,-0.110213,0,0,0,0,0,0,0,0,0.510995
0.25,4.323455339006079,4.7444250964414785,-2.281111570568182,-2.1357870201829545,0.08850036161363635,0.9713808568181819,1.168273710397727,0.3830080876677434,-0.0037357986231818185,-0.006512163602443183,2.1585401335261367,0.0219584008868125,0.02594514515099886,-0.5056219067902046,4.0747407408173295,3.9971684042943183,3.5743962992965916,4.483900448748626,4.574301094970569,4.941020862575869,4.786157134888012,4.216621367298296,4.685911172128579,4.420360826633068,4.681833998131817,4.968421527875002,4.9123039663117956,4.846362959615285,4.565608356428238,1.573958146284091,2.0643429542784095,2.628726411360398,1.9794940459090908,2.404079927210227,2.567352981161989,2.2364060086931814,-0.009416671426741477,-0.0022502042013953978,-0.008995354145579545,-0.009883538262045454,-0.004086706473388067,-0.004480290770579375,-0.004906655929664206,-0.007534927179600566,-0.0071663365506046016,-0.002523678999736193,-0.0028349717409772725,-0.00044564904073421315,-0.0036924752117193176,-0.008076292110871078,-0.0085657905563375,-0.004181263844064773,-0.005434095207023126,-0.006979377253124999,-0.006548610109487045,-0.008068648156438124,-0.007037296571766478,-0.01055526230783085,-0.005319895824915471,-0.008299505945331253,-0.0075962992834045446,-0.006744470564386931,-0.007764203080671818,-0.006951571955322727,-0.0032061622248295446,-0.0049582479807409085,-0.0028399943881608518,-0.0034150709347727263,-0.0034299258740136365,-0.0029899320157840913,-0.0040974946615570515,-0.008161001702377841,-0.0062707159214528425,-0.007205375553280909,-0.009258231852175,-0.008248683506497103,-0.005186486503564375,-0.0025982857106840907,9.675941263801345,-21.35050068143062,0.8988881561772729,0.19902401021363644,0.6463350752954546,0.48605344883943635,0.3331,0.154534,0.000884724,0.00256514,0.291586,1,0.478506,0.329828,-0.120527,0.401944,-0.267912,-0.0916981,0.410514,-0.120092,0,0.878084,-0.143864,-0.0861435,0.424847,-0.218456,-0.116548,-0.074597,-0.171712,0,0,0.933015,0.175951,0.163881,0.478878,0.349172,0.00663508,0.0429601,0,0,0,0.973187,-0.208728,0.280668,0.616998,-0.36535,0.63801,0,0,0,0,0.766499,-0.105511,-0.344257,0.143144,-0.141063,0,0,0,0,0,0.749179,0.177313,0.0956944,0.203159,0,0,0,0,0,0,0.57048,-0.719922,-0.201857,0,0,0,0,0,0,0,0.380071,-0.0690492,0,0,0,0,0,0,0,0,0.663705
0.25,4.20944533900608,4.330575096441478,-2.347591570568182,-2.144387020182955,0.09780996161363635,1.055000856818182,1.134413710397727,0.0167469876677434,-0.0036625086231818183,-0.006246803602443183,2.1376601335261367,0.017552100886812503,0.02317724515099886,-0.5801929067902045,3.78097074081733,4.084758404294319,4.3073562992965915,4.3176704487486255,4.6994610949705695,4.292980862575869,4.590887134888012,4.1023013672982955,4.384861172128579,4.339070826633068,4.450923998131818,4.724481527875001,4.486713966311795,4.591432959615285,4.218528356428238,1.500428146284091,2.0443829542784098,2.4415164113603978,1.9985540459090907,2.3396299272102272,2.596662981161989,2.2288960086931815,-0.012366781426741476,-0.008305394201395398,-0.008724774145579546,-0.009670788262045454,-0.004786996473388067,-0.0038022507705793747,-0.006842865929664206,-0.002884537179600566,-0.002440256550604601,-0.0011244789997361933,-0.0023913617409772724,-0.0025845100407342132,-0.0038709452117193176,-0.006593402110871079,-0.0062715305563375,-0.009254083844064773,-0.010387355207023125,-0.007433307253124999,-0.008457430109487046,-0.006477258156438125,-0.004901266571766478,-0.004809072307830852,0.00012093017508452901,-0.0035547659453312517,-0.007595759283404544,-0.005828310564386931,-0.0072391030806718175,-0.006084231955322727,-0.0031750322248295447,-0.005262847980740908,-0.0022713543881608517,-0.0034160209347727263,-0.002947545874013637,-0.002694032015784091,-0.0038707746615570513,-0.003311141702377842,-0.0022692659214528428,-0.003929795553280909,-0.009756391852175,-0.004073083506497102,-0.008696436503564376,-0.005222415710684091,11.890841263801343,-20.98780068143062,0.8471291561772729,0.19753201021363645,0.6550850752954547,0.4984824488394363,0.212877,0.185711,0.00080087,0.00255337,0.274786,1,-0.144408,0.319653,-0.031332,0.27121,-0.298399,0.0208142,0.194462,-0.286722,0,0.989518,0.175811,0.0298373,-0.144785,-0.0315316,0.107106,0.103592,-0.514149,0,0,0.931081,0.455663,0.0145585,-0.344513,-0.230413,0.312263,-0.112749,0,0,0,0.8891,-0.22523,0.405055,-0.308033,-0.0784175,-0.00977751,0,0,0,0,0.924414,-0.344962,0.089512,0.216137,0.71924,0,0,0,0,0,0.712886,-0.340873,0.0337386,-0.0765195,0,0,0,0,0,0,0.846117,-0.146162,0.111749,0,0,0,0,0,0,0,0.882371,0.00107352,0,0,0,0,0,0,0,0,0.324012
0.25,4.40271533900608,4.269725096441478,-2.308951570568182,-2.1195970201829546,0.09666526161363635,1.0260008568181818,1.1129437103977269,0.1637430876677434,-0.0036399886231818185,-0.006102743602443183,2.2942401335261366,0.016913700886812502,0.018318545150998858,-0.5073469067902046,3.3363007408173297,4.129968404294319,4.373926299296591,3.9796204487486255,4.520061094970569,3.9448008625758697,4.645047134888012,4.101771367298296,4.405531172128579,4.152420826633069,4.3413639981318175,4.635531527875002,4.428663966311795,4.493822959615285,4.063178356428238,1.956228146284091,1.9275329542784096,2.592566411360398,2.000354045909091,2.3973399272102274,2.554792981161989,2.2438460086931813,-0.0037682614267414765,-0.0026849942013953978,-0.007776144145579545,-0.010416298262045454,-0.003644556473388067,-0.003918750770579375,-0.005637055929664206,-0.008444367179600567,-0.010175506550604601,-0.0020778589997361933,-0.0028913617409772724,-0.003172900040734213,-0.003576115211719318,-0.007448162110871079,-0.006367940556337501,-0.010433503844064773,-0.005867415207023126,-0.007541187253125,-0.006595530109487045,-0.004418868156438125,-0.008664496571766479,-0.008718672307830851,-0.008338315824915472,-0.0027109659453312517,-0.0038939792834045447,-0.00823163056438693,-0.007333233080671818,-0.0043575419553227275,-0.003458562224829545,-0.005371037980740908,-0.002470394388160852,-0.003555460934772726,-0.0027398058740136367,-0.002791772015784091,-0.004335814661557051,-0.008751241702377843,-0.009675255921452842,-0.005423875553280909,-0.010090481852175,-0.0047165135064971015,-0.004878156503564375,-0.00806571571068409,11.246741263801344,-15.475000681430622,0.8761991561772728,0.19507301021363643,0.6436640752954547,0.4946814488394363,0.353118,0.193701,0.000741233,0.002534,0.199503,1,-0.167843,0.276427,0.0821279,0.120681,0.0825005,-0.145563,-0.353809,0.188087,0,0.985814,-0.234629,-0.058151,0.479047,-0.313517,-0.4385,0.26337,-0.0924195,0,0,0.931953,-0.176766,0.283388,0.229763,0.151949,0.395181,0.634243,0,0,0,0.979095,-0.337823,-0.0880535,-0.408061,-0.246949,-0.149125,0,0,0,0,0.749344,-0.207463,0.264863,0.18563,-0.248192,0,0,0,0,0,0.889559,-0.110807,0.437831,0.17416,0,0,0,0,0,0,0.717284,-0.464938,-0.546965,0,0,0,0,0,0,0,0.382075,-0.153592,0,0,0,0,0,0,0,0,0.341889
0.25,4.317845339006079,4.662605096441479,-2.314201570568182,-2.1633370201829547,0.09200746161363635,1.0865508568181819,1.151613710397727,0.0268121876677434,-0.0036127186231818182,-0.006153743602443183,2.1211701335261366,0.0183732008868125,0.02597124515099886,-0.5338409067902046,3.78045074081733,4.018078404294318,4.205356299296591,4.424330448748625,4.59686109497057,4.68826086257587,4.596497134888012,4.108531367298296,4.670101172128579,4.464470826633068,4.824323998131818,5.073341527875002,5.095513966311795,4.868922959615285,4.379428356428238,1.794488146284091,2.02419295427841,2.436266411360398,1.990794045909091,2.2104999272102273,2.441172981161989,2.1974060086931813,-0.008162131426741479,-0.008395614201395396,-0.006553454145579545,-0.010096858262045453,-0.004930886473388067,-0.004486510770579375,-0.0045123859296642066,-0.003016297179600566,-0.0092276665506046,-0.0029855089997361936,-0.0026121817409772725,-0.009603270040734212,-0.0034841352117193176,-0.010008452110871077,-0.005700780556337501,-0.010420003844064774,-0.004689795207023126,-0.0068594472531249995,-0.0067552301094870445,-0.0059144781564381245,-0.008038636571766478,-0.006728672307830852,-0.003578295824915471,-0.0036614959453312515,0.0002463127165954553,-0.0035148405643869313,-0.007398213080671818,-0.007786421955322727,-0.0034192222248295447,-0.004910967980740908,-0.0028786343881608517,-0.003416710934772726,-0.003447915874013637,-0.0025554420157840913,-0.003899944661557051,-0.003971711702377843,-0.006565555921452843,-0.00915466555328091,-0.009677011852175,-0.010348273506497101,-0.007875546503564375,-0.0067158257106840905,15.185341263801345,-18.924100681430623,0.8667671561772728,0.19397101021363644,0.6465460752954546,0.4745374488394363,0.216043,0.173344,0.000760621,0.00238994,0.261596,1,0.552245,0.0197226,-0.0869311,-0.0253816,0.195514,0.169427,0.0754778,-0.357111,0,0.833682,0.267111,-0.0789269,0.372486,0.12054,0.452238,0.1466,-0.452548,0,0,0.963464,0.624194,0.123102,-0.133892,-0.164626,0.360483,-0.361869,0,0,0,0.772396,-0.277867,0.313953,-0.138272,0.147419,0.413499,0,0,0,0,0.876496,0.570009,-0.112355,0.284735,0.279606,0,0,0,0,0,0.711225,-0.0780313,0.248035,-0.12812,0,0,0,0,0,0,0.83776,0.150416,0.128418,0,0,0,0,0,0,0,0.809883,0.268254,0,0,0,0,0,0,0,0,0.427429
