"NGAsubRSN","NGAsubEQID","NGAsubSSN"
1000061,1000005,1000002
1000074,1000005,1000008
1000086,1000006,1000002
1000109,1000006,1000008
1000278,1000022,1000008
1000289,1000023,1000002
1000308,1000023,1000008
1000331,1000026,1000005
1000335,1000026,1000008
1000336,1000026,1000012
1000362,1000027,1000005
1000368,1000027,1000008
1000397,1000028,1000005
1000404,1000028,1000008
1000465,1000031,1000002
1000475,1000031,1000008
1000648,1000043,1000005
1000740,1000050,1000002
1000758,1000050,1000008
1000958,1000058,1000002
1000965,1000058,1000008
1000984,1000061,1000002
1000996,1000061,1000008
1001009,1000062,1000002
1001013,1000062,1000008
1001021,1000065,1000002
1001024,1000065,1000003
1001030,1000065,1000005
1001038,1000065,1000008
1001050,1000065,1000009
1001069,1000066,1000103
1001071,1000066,1000016
1001072,1000066,1000087
1001073,1000066,1000047
1001075,1000066,1000003
1001076,1000066,1000004
1001077,1000066,1000020
1001078,1000066,1000021
1001085,1000066,1000025
1001086,1000066,1000005
1001087,1000066,1000051
1001088,1000066,1000068
1001091,1000066,1000027
1001093,1000066,1000069
1001094,1000066,1000089
1001095,1000066,1000105
1001098,1000066,1000053
1001099,1000066,1000054
1001100,1000066,1000029
1001102,1000066,1000100
1001104,1000066,1000031
1001105,1000066,1000032
1001115,1000066,1000037
1001117,1000066,1000055
1001118,1000066,1000038
1001123,1000066,1000040
1001125,1000066,1000041
1001126,1000066,1000042
1001128,1000066,1000080
1001129,1000066,1000009
1001130,1000066,1000049
1001131,1000066,1000050
1001133,1000066,1000043
1001134,1000066,1000094
1001135,1000066,1000110
1001138,1000066,1000045
1001140,1000066,1000082
1001141,1000066,1000083
1001142,1000066,1000070
1001143,1000066,1000096
1001144,1000066,1000097
1001145,1000066,1000098
1001146,1000066,1000084
1001150,1000067,1000002
1001151,1000067,1000004
1001157,1000067,1000005
1001161,1000067,1000008
1001168,1000068,1000004
1001171,1000068,1000005
1001178,1000068,1000008
1001183,1000068,1000009
1001197,1000069,1000016
1001198,1000069,1000087
1001201,1000069,1000003
1001202,1000069,1000004
1001209,1000069,1000005
1001217,1000069,1000029
1001240,1000069,1000009
1001254,1000070,1000002
1001255,1000070,1000004
1001256,1000070,1000005
1001257,1000070,1000008
1001263,1000071,1000057
1001264,1000071,1000085
1001266,1000071,1000103
1001267,1000071,1000015
1001268,1000071,1000016
1001269,1000071,1000087
1001270,1000071,1000017
1001271,1000071,1000047
1001272,1000071,1000018
1001273,1000071,1000019
1001274,1000071,1000004
1001275,1000071,1000020
1001277,1000071,1000059
1001278,1000071,1000104
1001280,1000071,1000023
1001282,1000071,1000025
1001284,1000071,1000051
1001285,1000071,1000068
1001288,1000071,1000027
1001289,1000071,1000088
1001290,1000071,1000069
1001291,1000071,1000089
1001292,1000071,1000105
1001294,1000071,1000028
1001295,1000071,1000053
1001296,1000071,1000054
1001298,1000071,1000100
1001299,1000071,1000091
1001300,1000071,1000031
1001302,1000071,1000032
1001303,1000071,1000107
1001304,1000071,1000092
1001305,1000071,1000033
1001306,1000071,1000034
1001307,1000071,1000108
1001308,1000071,1000035
1001309,1000071,1000078
1001310,1000071,1000111
1001312,1000071,1000036
1001313,1000071,1000079
1001314,1000071,1000037
1001315,1000071,1000093
1001316,1000071,1000055
1001317,1000071,1000038
1001320,1000071,1000101
1001321,1000071,1000040
1001322,1000071,1000041
1001323,1000071,1000042
1001324,1000071,1000050
1001326,1000071,1000094
1001327,1000071,1000110
1001329,1000071,1000045
1001331,1000071,1000095
1001332,1000071,1000083
1001333,1000071,1000070
1001334,1000071,1000096
1001335,1000071,1000097
1001336,1000071,1000084
1001337,1000071,1000056
1001338,1000071,1000046
1001339,1000071,1000081
1001341,1000072,1000002
1001344,1000072,1000004
1001346,1000072,1000005
1001347,1000072,1000008
1001425,1000074,1000002
1001427,1000074,1000005
1001429,1000074,1000008
1001471,1000076,1000001
1001472,1000076,1000057
1001473,1000076,1000085
1001475,1000076,1000015
1001476,1000076,1000016
1001477,1000076,1000047
1001478,1000076,1000018
1001479,1000076,1000019
1001480,1000076,1000020
1001481,1000076,1000058
1001482,1000076,1000022
1001483,1000076,1000059
1001484,1000076,1000072
1001485,1000076,1000023
1001486,1000076,1000025
1001487,1000076,1000051
1001488,1000076,1000068
1001489,1000076,1000066
1001490,1000076,1000027
1001491,1000076,1000088
1001492,1000076,1000069
1001493,1000076,1000089
1001494,1000076,1000090
1001495,1000076,1000028
1001496,1000076,1000053
1001497,1000076,1000029
1001499,1000076,1000091
