"T","mu_theta_1_if","mu_theta_1_slab","theta_2_if","theta_2_slab","theta_3","theta_4_if","theta_4_slab","theta_5","mu_theta_6","mu_theta_6b","mu_theta_7","theta_9_if","theta_9_slab","theta_6xc","theta_1_slab_Ca_smallM","theta_1_if_reg_Al","theta_1_if_reg_Ca","theta_1_if_reg_CAM","theta_1_if_reg_Ja","theta_1_if_reg_NZ","theta_1_if_reg_SA","theta_1_if_reg_Tw","theta_1_slab_reg_Al","theta_1_slab_reg_Ca","theta_1_slab_reg_CAM","theta_1_slab_reg_Ja","theta_1_slab_reg_NZ","theta_1_slab_reg_SA","theta_1_slab_reg_Tw","theta7_reg_Al","theta7_reg_Ca","theta7_reg_CAM","theta7_reg_Ja","theta7_reg_NZ","theta7_reg_SA","theta7_reg_Tw","theta_6_x1_reg_Al","theta_6_x1_reg_Ca","theta_6_x1_reg_CAM","theta_6_x1_reg_Ja","theta_6_x1_reg_NZ","theta_6_x1_reg_SA","theta_6_x1_reg_Tw","theta_6_x2_reg_Al","theta_6_x2_reg_Ca","theta_6_x2_reg_CAM","theta_6_x2_reg_Ja","theta_6_x2_reg_NZ","theta_6_x2_reg_SA","theta_6_x2_reg_Tw","theta_6_x3_reg_Al","theta_6_x3_reg_Ca","theta_6_x3_reg_CAM","theta_6_x3_reg_Ja","theta_6_x3_reg_NZ","theta_6_x3_reg_SA","theta_6_x3_reg_Tw","theta_6_1_reg_Al","theta_6_1_reg_Ca","theta_6_1_reg_CAM","theta_6_1_reg_Ja","theta_6_1_reg_NZ","theta_6_1_reg_SA","theta_6_1_reg_Tw","theta_6_2_reg_Al","theta_6_2_reg_Ca","theta_6_2_reg_CAM","theta_6_2_reg_Ja","theta_6_2_reg_NZ","theta_6_2_reg_SA","theta_6_2_reg_Tw","theta_6_3_reg_Al","theta_6_3_reg_Ca","theta_6_3_reg_CAM","theta_6_3_reg_Ja","theta_6_3_reg_NZ","theta_6_3_reg_SA","theta_6_3_reg_Tw","dzb_if","dzb_slab","nft_1","nft_2","phi","tau","psi_theta_1_f","psi_theta_1_if","psi_theta_6","psi_theta_6b","psi_theta_7","L_reg.1.1","L_reg.2.1","L_reg.3.1","L_reg.4.1","L_reg.5.1","L_reg.6.1","L_reg.7.1","L_reg.8.1","L_reg.9.1","L_reg.1.2","L_reg.2.2","L_reg.3.2","L_reg.4.2","L_reg.5.2","L_reg.6.2","L_reg.7.2","L_reg.8.2","L_reg.9.2","L_reg.1.3","L_reg.2.3","L_reg.3.3","L_reg.4.3","L_reg.5.3","L_reg.6.3","L_reg.7.3","L_reg.8.3","L_reg.9.3","L_reg.1.4","L_reg.2.4","L_reg.3.4","L_reg.4.4","L_reg.5.4","L_reg.6.4","L_reg.7.4","L_reg.8.4","L_reg.9.4","L_reg.1.5","L_reg.2.5","L_reg.3.5","L_reg.4.5","L_reg.5.5","L_reg.6.5","L_reg.7.5","L_reg.8.5","L_reg.9.5","L_reg.1.6","L_reg.2.6","L_reg.3.6","L_reg.4.6","L_reg.5.6","L_reg.6.6","L_reg.7.6","L_reg.8.6","L_reg.9.6","L_reg.1.7","L_reg.2.7","L_reg.3.7","L_reg.4.7","L_reg.5.7","L_reg.6.7","L_reg.7.7","L_reg.8.7","L_reg.9.7","L_reg.1.8","L_reg.2.8","L_reg.3.8","L_reg.4.8","L_reg.5.8","L_reg.6.8","L_reg.7.8","L_reg.8.8","L_reg.9.8","L_reg.1.9","L_reg.2.9","L_reg.3.9","L_reg.4.9","L_reg.5.9","L_reg.6.9","L_reg.7.9","L_reg.8.9","L_reg.9.9","theta_1_if_reg_global","theta_1_slab_reg_global","theta7_reg_global","theta_6_x1_reg_global","theta_6_x2_reg_global","theta_6_x3_reg_global","theta_6_1_reg_global","theta_6_2_reg_global","theta_6_3_reg_global"
-1,6.3457,9.42163,-2.14827,-2.63469,0.11926,0.953047,1.37466,0.174405,-0.00151404,-0.00290991,1.72386,0.0189673,0.0131357,-0.346987,8.88094,6.45123,6.28686,6.39165,6.81852,6.16813,6.46293,6.39537,9.60257,9.40259,9.2569,9.59329,9.38479,9.39921,9.31643,1.28879,1.65283,1.83207,1.52201,1.76007,2.0295,1.69397,-0.00185213,-0.00240476,-0.00376135,-0.0040273,-0.0033466,-0.00147843,-0.00451338,-0.00268323,-0.00301958,-0.000664928,-0.00123639,-0.00424864,-0.00090469,-0.00117666,-0.00243792,-0.00446259,-0.0038181,-0.000247819,-0.00502371,-0.00535758,-0.00137767,-0.00355864,-0.00237669,-0.00256731,-0.00235409,-0.00138479,-0.00245296,-0.00467705,-0.00161077,-0.00127415,-0.00138473,-0.00207053,-0.000414685,-0.000943597,-0.00179391,-0.00486581,-0.00470274,-0.00386916,-0.00419018,-0.00305908,-0.00612076,-0.00153116,-9.04406,-6.82983,0.938651,0.210294,0.515159,0.41805,0.179758,0.160143,0.000541358,0.00155312,0.210377,1,0.333888,-0.0768762,-0.0831198,0.511293,0.41747,0.0930855,-0.0833262,-0.183201,0,0.942613,-0.084555,0.354267,-0.388106,0.290656,-0.239847,0.362656,0.254502,0,0,0.993449,-0.0852978,0.103477,-0.0838489,-0.0998016,0.130549,0.176189,0,0,0,0.927529,0.428237,-0.19677,-0.246707,0.135376,-0.137748,0,0,0,0,0.627582,0.0194009,-0.676801,-0.0675449,-0.213054,0,0,0,0,0,0.833734,-0.414247,-0.58918,0.459244,0,0,0,0,0,0,0.483035,0.306385,0.103404,0,0,0,0,0,0,0,0.616928,-0.0401766,0,0,0,0,0,0,0,0,0.763574,6.390599134857034,9.35161786339912,1.552634358987791,-0.0028045920792472883,-0.0022903833505289574,-0.0042164163876347695,-0.001429471365616803,-0.0009948199914494452,-0.005102773980501721
-1,6.43314,9.11008,-2.21982,-2.63603,0.134614,0.941767,1.27909,0.0806103,-0.00144292,-0.00218693,1.68647,0.0259091,0.0185354,-0.351737,8.41861,6.34949,6.52362,6.47713,6.56941,6.46734,6.36604,6.46676,9.10056,9.14795,9.09887,9.25935,9.06256,9.0621,9.0749,1.3426,1.41974,1.97346,1.52693,1.7495,2.0111,1.67799,-0.0011863,-0.00260924,-0.00194938,-0.00437977,-0.00236229,-0.00166819,-0.00121339,-0.00403437,-0.00284944,-0.000362931,-0.00141247,-0.00278824,-0.00121261,-0.00246751,-0.00195286,-0.00196628,-0.00273364,-0.000668433,-0.00264462,-0.00154018,-0.00113041,-0.00284789,-0.0019969,-0.00190219,-0.000887429,-0.00384021,-0.00281053,-0.00253523,-0.00188108,-0.00163247,-0.000357415,-0.00224871,-0.00109085,-0.00136586,-0.00237488,-0.00241543,-0.00230961,-0.00216639,-0.00435469,-0.0022558,-0.00159188,-0.00232601,-9.35569,-20.8657,0.920273,0.211865,0.514588,0.496256,0.0706155,0.0645061,0.000943979,0.00116026,0.185347,1,0.0180697,0.00940905,-0.459526,0.00181402,0.0346148,0.171426,0.283891,-0.21642,0,0.999837,-0.0519015,-0.460852,0.385245,0.0396824,0.311892,-0.637648,-0.529964,0,0,0.998608,-0.0700138,0.378645,-0.246707,0.0905106,0.0525625,0.0989441,0,0,0,0.756009,-0.259529,0.0237289,0.161104,0.023154,0.102861,0,0,0,0,0.800534,0.204694,0.341766,0.0447859,0.104995,0,0,0,0,0,0.945463,0.465279,-0.356739,-0.0204457,0,0,0,0,0,0,0.711268,-0.178938,-0.266259,0,0,0,0,0,0,0,0.590105,0.154604,0,0,0,0,0,0,0,0,0.738709,6.538713585825382,9.058589584266647,1.7804600694975052,-0.0018353659860754976,-0.0021195658642585128,-0.0032004053331159696,-0.0013619377497625287,-0.0004962632183466756,-0.0019466364850313387
-1,6.31843,9.19287,-2.16887,-2.62294,0.128204,1.0082,1.29007,0.0689675,-0.00150959,-0.00230307,1.70718,0.0214378,0.0169636,-0.335375,8.42415,6.19079,6.49452,6.3363,6.4136,6.36382,6.27305,6.27848,9.29228,9.36129,9.14389,9.36313,9.15967,9.24331,9.19813,1.4267,1.6345,1.71582,1.53133,1.73622,2.04583,1.68465,-0.00155277,-0.00209424,-0.00162013,-0.00448668,-0.00270034,-0.00171551,-0.00119728,-0.00311404,-0.00234757,-0.000956451,-0.00134938,-0.00250967,-0.0010855,-0.0028225,-0.00185589,-0.00158203,-0.00248266,-0.000474492,-0.00181084,-0.00321192,-0.00209244,-0.00159839,-0.00195924,-0.00327313,-0.00338277,-0.00268037,-0.00284575,-0.00133771,-0.00175413,-0.00147495,-0.000694578,-0.00216096,-0.000451611,-0.00123733,-0.0021924,-0.002619,-0.003512,-0.00277105,-0.00427775,-0.0025403,-0.0008998,-0.0025092,-5.72759,-22.8807,0.935967,0.211212,0.508057,0.467193,0.117834,0.132159,0.000611909,0.000876916,0.169142,1,-0.123976,0.0942691,-0.256356,0.372444,0.0309621,0.332541,0.194226,0.00659912,0,0.992285,0.0869659,-0.369473,0.433241,0.43685,0.169992,-0.416047,-0.227739,0,0,0.991741,0.158417,0.559829,-0.382294,0.0232239,0.0607148,0.333152,0,0,0,0.879019,0.115617,-0.0312904,0.140124,0.0176763,-0.155844,0,0,0,0,0.588908,-0.167792,-0.251289,0.0701133,-0.251179,0,0,0,0,0,0.795564,-0.216041,0.1149,-0.182287,0,0,0,0,0,0,0.854708,-0.124434,0.375347,0,0,0,0,0,0,0,0.866937,0.257747,0,0,0,0,0,0,0,0,0.713566,6.328030849890739,9.30607048655008,1.774275044716676,-0.0025419107865174853,-0.0018803438429144078,-0.002892413164687562,-0.0018901265198563214,-0.00248026884988275,-0.002622963579530414
-1,6.35493,9.43945,-2.18096,-2.63434,0.124359,1.01841,1.33658,0.26025,-0.00127056,-0.00237144,1.73098,0.0234995,0.0160733,-0.345376,8.62253,6.1412,6.53733,6.53543,6.56636,6.40224,6.31978,6.45617,9.33937,9.56539,9.37188,9.53002,9.3275,9.40241,9.38766,1.37969,1.52346,1.91701,1.53719,1.79058,2.05476,1.66448,-0.000965859,-0.00460968,-0.00246793,-0.00432233,-0.00103112,-0.000938924,-0.00221174,-0.00192038,-0.00245817,-0.000792154,-0.00118325,-0.00350087,-0.00122966,-0.0019589,-0.002466,-0.00067753,-0.00218264,-0.000485794,-0.0038726,-0.00397593,-0.00267158,-0.00375219,-0.00164262,-0.0030467,-0.00217881,-0.00398683,-0.00324125,-0.0036961,-0.00147348,-0.00144152,-0.000918006,-0.00202663,-0.000155446,-0.00109285,-0.00182374,-0.00304772,-0.00307064,-0.00266335,-0.00407167,-0.00268212,-0.00066382,-0.00326382,-5.78959,-24.6666,0.933304,0.208846,0.511238,0.476296,0.171564,0.0862843,0.000634042,0.000975385,0.15601,1,0.461166,-0.0785046,-0.278782,-0.0332965,0.336658,0.437019,0.0132995,0.0342501,0,0.887314,0.109461,-0.396014,0.260836,-0.0360225,0.361458,-0.325503,0.455053,0,0,0.990886,0.236903,0.0887754,-0.53538,-0.00942914,0.208042,0.530408,0,0,0,0.842217,0.327577,-0.489172,0.145009,-0.0983521,0.162043,0,0,0,0,0.903143,0.111606,-0.163381,-0.341483,-0.350928,0,0,0,0,0,0.589055,0.225614,-0.0616888,-0.0391731,0,0,0,0,0,0,0.761347,-0.209305,-0.185074,0,0,0,0,0,0,0,0.822613,0.0483206,0,0,0,0,0,0,0,0,0.568236,6.333203413936071,9.505858210983785,1.666286856633995,-0.0052277554396457475,-0.0033672689701924868,-0.0013131231669001795,-0.002564796641540629,-0.0016868992676126971,-0.002578756476804685
-1,6.11808,9.199,-2.12216,-2.58896,0.123542,1.03288,1.36833,0.0352772,-0.00148223,-0.00208942,1.53837,0.0151793,0.0112611,-0.383715,8.75774,6.1095,5.99342,6.10628,6.26725,6.13046,6.10617,6.13215,9.19158,9.17402,9.26195,9.22754,9.25559,9.17559,9.20913,1.23382,1.64405,1.60816,1.53018,1.79674,2.11532,1.65391,-0.00160164,-0.00251497,-0.00153504,-0.00421895,-0.00133928,-0.00126372,-0.002511,-0.00302236,-0.00165202,-0.00105257,-0.00117355,-0.000742228,-0.0014432,-0.00216991,-0.00108278,-0.00243435,-0.00304885,-0.000671623,-0.00253007,-0.000503498,-0.00246872,-0.00154987,-0.000333871,-0.00239023,-0.00341351,-0.00358263,-0.00286904,-0.00209643,-0.00165028,-0.00176525,-0.000888368,-0.00223602,-0.000611385,-0.00144667,-0.00222537,-0.00111436,-0.00188832,-0.00180449,-0.00424503,-0.00263048,-0.00171055,-0.00269681,4.15814,-11.6608,0.912605,0.211656,0.510083,0.453258,0.0483473,0.0269538,0.000477321,0.000824577,0.332134,1,0.120065,0.0256232,-0.293489,0.00414488,0.31826,-0.474728,-0.0828577,-0.263264,0,0.992766,-0.00909392,0.180417,0.399014,-0.0924123,-0.246454,0.374034,-0.441093,0,0,0.99963,0.34916,0.515958,0.30432,-0.453511,0.157629,-0.37311,0,0,0,0.871436,-0.557275,0.293262,-0.0714942,0.36892,-0.00157679,0,0,0,0,0.513812,-0.00524014,-0.178229,0.432335,0.383546,0,0,0,0,0,0.843522,0.208615,-0.121529,-0.148079,0,0,0,0,0,0,0.654083,-0.218467,0.307925,0,0,0,0,0,0,0,0.665487,-0.103332,0,0,0,0,0,0,0,0,0.56779,6.161474051861187,9.188664403500407,1.9169359056825628,-0.0013113328550811631,-0.0025095032603793628,-0.0011930320866486862,-0.0025138679314932306,-0.001462826142136479,-0.0031593091424055564
-1,6.3622,9.33475,-2.21431,-2.67058,0.133231,0.827278,1.23692,0.197982,-0.00150332,-0.00339819,1.56481,0.00681566,0.0116878,-0.303609,8.80962,6.29636,6.70246,6.36969,6.57161,6.49916,6.49235,6.28573,9.36088,9.34611,9.30065,9.35579,9.3379,9.36504,9.28026,1.42641,1.4288,1.99522,1.55246,1.76424,2.13609,1.66255,-0.00576399,-0.00175418,-0.00253247,-0.00434511,-0.00386333,-0.00187157,-0.00173059,-0.0047554,-0.000442501,-0.00110795,-0.00139863,-0.00292672,-0.00151603,-0.00308514,-0.00404069,-0.00453032,-0.00198827,-0.000767963,-0.00214337,-0.00602882,-0.00554916,-0.000971164,-0.00280407,-0.00481038,-0.00291983,-0.00324583,-0.00304195,-0.00418051,-0.00156286,-0.00152128,-0.00125298,-0.00208619,-0.0013032,-0.00112901,-0.00180454,-0.00227161,-0.00310558,-0.00470082,-0.00426787,-0.00374075,-0.000863339,-0.00363035,6.80898,-16.1438,0.946053,0.213765,0.511808,0.463884,0.148166,0.0322587,0.000524449,0.0013734,0.280317,1,0.0000287851,-0.0497109,0.122818,0.301467,0.341875,-0.0144877,-0.0540412,0.0525322,0,1,0.451613,-0.563875,-0.0303273,0.0806495,0.438847,-0.182363,0.312944,0,0,0.890828,0.0771968,0.0321806,-0.205099,0.100459,0.133771,0.499328,0,0,0,0.81302,0.325768,-0.512354,-0.347864,0.0879895,0.137725,0,0,0,0,0.895007,0.128806,0.0945611,0.0641379,-0.326181,0,0,0,0,0,0.745288,-0.41734,-0.0775109,-0.0345445,0,0,0,0,0,0,0.702131,0.254624,-0.226828,0,0,0,0,0,0,0,0.929102,0.0966986,0,0,0,0,0,0,0,0,0.680163,6.462967780311489,9.293432807391708,1.3010725173403095,-0.003413607040157886,-0.005315623100337311,-0.0035455330757780436,-0.0030726479209655477,-0.0012794972247861564,-0.004700820220116345
-1,6.55175,9.47357,-2.22952,-2.68375,0.129328,0.831101,1.2426,0.202679,-0.00168392,-0.00343602,1.54346,0.00509116,0.0125327,-0.377086,8.94468,6.47463,6.43274,6.74156,6.75494,6.56155,6.70826,6.54761,9.4827,9.4719,9.47018,9.50717,9.47886,9.4754,9.43763,1.36143,1.51078,1.78946,1.53797,1.78304,2.08603,1.6344,-0.00304248,-0.00356819,-0.00245517,-0.0039463,-0.00276897,-0.00124429,-0.0027072,-0.00493974,-0.00626546,-0.000454676,-0.00111435,-0.00297453,-0.000936498,-0.00245128,-0.00272039,-0.00317141,-0.00261191,-0.000384844,-0.00302927,-0.00353646,-0.00293765,-0.0022491,-0.00403564,-0.00287189,-0.00470794,-0.00212669,-0.00278847,-0.00509455,-0.00157011,-0.0012873,-0.00129264,-0.00196,-0.000989169,-0.00110897,-0.00182556,-0.00345586,-0.00363195,-0.00183119,-0.00402751,-0.00279885,-0.0041659,-0.00535376,2.92051,-10.9438,0.951544,0.207851,0.511371,0.469296,0.0806616,0.028691,0.000296716,0.00140295,0.238268,1,0.0174416,0.31664,0.132465,0.38694,0.22521,-0.250675,0.0237977,0.347065,0,0.999848,0.254294,-0.0423213,-0.205377,-0.23881,0.152672,0.166917,0.117327,0,0,0.913823,-0.125385,0.487573,-0.556088,0.0793144,0.169317,-0.258017,0,0,0,0.982314,-0.12121,-0.154997,0.177129,0.424036,-0.163148,0,0,0,0,0.745439,0.147577,0.370702,-0.0302588,-0.450865,0,0,0,0,0,0.732949,-0.139796,0.371415,-0.398259,0,0,0,0,0,0,0.848071,0.416696,0.0501629,0,0,0,0,0,0,0,0.671265,0.434118,0,0,0,0,0,0,0,0,0.46875,6.51906559155099,9.534697700691579,1.5818004231085183,-0.005920277549791639,-0.004467819840151994,-0.005048751614873051,-0.0030334739886741556,-0.001946048664751722,-0.00169713106521472
-1,6.32032,9.10835,-2.12883,-2.58805,0.123844,0.828232,1.26063,0.180457,-0.00168416,-0.00233292,1.65979,0.0052612,0.0128464,-0.295657,8.62353,6.09704,6.40371,6.30588,6.40148,6.44599,6.42189,6.31583,9.11369,9.10504,9.0886,9.15713,9.11602,9.0746,9.12685,1.29635,1.52119,2.11681,1.53617,1.806,2.03521,1.68158,-0.00309693,-0.00225893,-0.00271195,-0.00456752,-0.00287427,-0.00131215,-0.00378812,-0.00353145,-0.000725928,-0.0009922,-0.00140878,-0.00218469,-0.00165578,-0.00222429,-0.0045413,-0.00219244,-0.00153764,-0.000751957,-0.0000892426,-0.00229322,-0.00107768,-0.0025777,-0.00261755,-0.00236226,-0.000456771,-0.000888819,-0.00306296,-0.000608179,-0.00171102,-0.00149874,-0.00138354,-0.00206187,-0.00108386,-0.00128477,-0.00209186,-0.00250758,-0.00318333,-0.00177329,-0.00449934,-0.00263014,-0.00195828,-0.00180015,0.0899286,-9.90403,0.907308,0.207852,0.512155,0.444041,0.0754811,0.0301979,0.000326117,0.00104637,0.263491,1,0.12689,0.0711103,0.0302288,0.310213,0.513356,0.202288,-0.160668,-0.482657,0,0.991917,-0.178273,-0.199327,0.219381,0.492127,0.0864378,-0.434184,-0.189009,0,0,0.981408,-0.16903,0.0829818,0.192554,0.078556,0.150035,0.21889,0,0,0,0.964771,0.230674,-0.191182,-0.810852,-0.301634,0.444344,0,0,0,0,0.891932,0.223725,-0.199523,-0.0788778,0.124396,0,0,0,0,0,0.608767,0.369163,0.337518,0.557042,0,0,0,0,0,0,0.334463,-0.0685209,0.0045422,0,0,0,0,0,0,0,0.739825,-0.0541073,0,0,0,0,0,0,0,0,0.396541,6.304358825032648,9.132259912336643,1.0328518860980695,-0.001244806836566806,-0.004087643613867129,-0.003031664740096476,-0.0030464726503756515,-0.0015356345912437158,-0.002777023510985052
-1,6.72258,9.53965,-2.289,-2.73601,0.134599,0.8926,1.23557,0.0651403,-0.00132194,-0.00205531,1.80461,0.00876371,0.0122439,-0.358073,9.0547,6.44889,6.62838,6.55329,6.74096,6.94897,6.83311,6.8154,9.55564,9.54102,9.53637,9.55465,9.54253,9.53464,9.53692,1.37344,1.60486,1.79743,1.53968,1.72534,2.16063,1.67443,-0.00209499,-0.00171617,-0.00158459,-0.00414873,-0.000788068,-0.00134452,-0.00469969,-0.00288044,-0.00323709,-0.000865908,-0.00103722,-0.00146077,-0.000965888,-0.000414868,-0.00151689,-0.00317135,-0.00275044,-0.0004294,-0.00261153,-0.0022941,-0.000126983,-0.00153031,-0.000942625,-0.000851744,-0.00411054,-0.00114328,-0.00252886,-0.00429352,-0.00144621,-0.00120869,-0.000868497,-0.00198551,-0.000566772,-0.00099352,-0.0021018,-0.00327419,-0.00150076,-0.00270527,-0.00440958,-0.00175474,-0.00197635,-0.00329726,25.0739,-8.48721,0.969008,0.208573,0.510613,0.458254,0.224416,0.00661969,0.000443192,0.000892531,0.196492,1,-0.148571,0.175561,0.0470912,0.0581528,-0.347917,-0.386956,0.2668,0.580324,0,0.988902,-0.584291,-0.258005,0.0187072,-0.10715,0.0367775,0.112092,-0.248014,0,0,0.792327,0.254263,-0.100295,-0.272207,-0.223368,-0.0434344,-0.131719,0,0,0,0.930895,-0.350201,-0.272493,0.682202,0.576463,0.0752536,0,0,0,0,0.929284,0.0970766,0.159901,0.321403,-0.290524,0,0,0,0,0,0.842437,-0.438766,-0.0833011,-0.361153,0,0,0,0,0,0,0.339907,0.370278,0.113451,0,0,0,0,0,0,0,0.578543,0.148046,0,0,0,0,0,0,0,0,0.573652,6.592760924587874,9.532470825818919,1.9559248656992199,-0.0023885522567547316,-0.0018696912334720374,-0.0017381082470096368,-0.002116898192803825,-0.0016187693620599271,-0.0019159209010356664
-1,6.64148,9.57486,-2.27679,-2.7524,0.1363,0.92733,1.29649,0.291404,-0.00156962,-0.00230354,1.81587,0.00997782,0.0107904,-0.347454,9.13112,6.34645,6.54388,6.32356,6.60725,6.88953,6.76754,6.7238,9.57872,9.57366,9.57759,9.587,9.57507,9.57147,9.57632,1.35819,1.47258,1.90349,1.5482,1.81293,2.09112,1.69354,-0.00219417,-0.00204374,-0.00191939,-0.00434308,-0.00098706,-0.0012767,-0.00221893,-0.00271626,-0.00261238,-0.000300724,-0.00129392,-0.00277337,-0.0014567,-0.00223017,-0.00472196,-0.00298683,-0.00243414,-0.000253913,-0.00341825,-0.000898216,-0.00136736,-0.000636497,-0.00232959,-0.00289687,-0.00190193,-0.00237054,-0.00306595,-0.0025181,-0.00144787,-0.00113303,-0.00121316,-0.00215911,-0.000851655,-0.00112259,-0.00187097,-0.00226734,-0.00151065,-0.00255064,-0.00400747,-0.00131347,-0.00122836,-0.00199351,19.6445,-1.611,0.995685,0.212095,0.510724,0.443922,0.158939,0.0051848,0.000386401,0.000951249,0.242192,1,0.358168,-0.0817974,0.0428215,-0.285458,-0.0907338,-0.170045,-0.100675,-0.314082,0,0.933657,-0.352217,-0.303907,0.319363,-0.0788335,0.216537,-0.172916,-0.540885,0,0,0.932337,0.353776,0.546849,0.325206,-0.282739,0.0449654,-0.295128,0,0,0,0.883543,0.168228,-0.601219,-0.0907777,0.683218,0.427711,0,0,0,0,0.699411,0.29849,-0.321869,0.449077,-0.0349515,0,0,0,0,0,0.655159,0.152522,-0.124329,0.3552,0,0,0,0,0,0,0.842112,-0.174758,0.0641061,0,0,0,0,0,0,0,0.493444,0.181662,0,0,0,0,0,0,0,0,0.417444,6.644971644716304,9.57351131165532,1.469539241752974,-0.0033841745975447335,-0.0032918432948609282,-0.002633796795105031,-0.002368831088437483,-0.0018316836551968137,-0.0029721112019635496
